"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_acgl_acct_def","acgl_sys_region","General Ledger Definitions","System Region","char"
"dbo","cmc_acgl_acct_def","acgl_type","General Ledger Definitions","Account Type","char"
"dbo","cmc_acgl_acct_def","acgl_activity","General Ledger Definitions","Activity Type","char"
"dbo","cmc_acgl_acct_def","lobd_id","General Ledger Definitions","Line Of Business ID","char"
"dbo","cmc_acgl_acct_def","acct_cat","General Ledger Definitions","Accounting Category","char"
"dbo","cmc_acgl_acct_def","acgl_var_data_1","General Ledger Definitions","Variable Data One","char"
"dbo","cmc_acgl_acct_def","acgl_var_data_2","General Ledger Definitions","Variable Data Two","char"
"dbo","cmc_acgl_acct_def","acgl_var_data_3","General Ledger Definitions","Variable data 3","char"
"dbo","cmc_acgl_acct_def","acad_gen_ldgr_no","General Ledger Definitions","Account Number","char"
"dbo","cmc_acgl_acct_def","acgl_lock_token","General Ledger Definitions","Lock Token","smallint"
"dbo","cmc_acgl_acct_def","atxr_source_id","General Ledger Definitions","Attachment Source Id","datetime"
