"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_acrh_red_hist","acpr_ref_id","Payment Reduction History","Reduction Reference ID","char"
"dbo","cmc_acrh_red_hist","acpr_sub_type","Payment Reduction History","ACPR Sub-type","char"
"dbo","cmc_acrh_red_hist","acrh_seq_no","Payment Reduction History","Reduction History Sequence Row","int"
"dbo","cmc_acrh_red_hist","acrh_create_dt","Payment Reduction History","Create Date","datetime"
"dbo","cmc_acrh_red_hist","acrh_event_type","Payment Reduction History","Event Type","char"
"dbo","cmc_acrh_red_hist","ckpy_ref_id","Payment Reduction History","Payment Reference ID","char"
"dbo","cmc_acrh_red_hist","acrh_recd_dt","Payment Reduction History","Received Date","datetime"
"dbo","cmc_acrh_red_hist","acrh_per_end_dt","Payment Reduction History","Accounting Period End Date","datetime"
"dbo","cmc_acrh_red_hist","acrh_amt","Payment Reduction History","Reduction History Amount","money"
"dbo","cmc_acrh_red_hist","usus_id","Payment Reduction History","User Identifier","char"
"dbo","cmc_acrh_red_hist","acrh_mctr_rsn","Payment Reduction History","Reason","char"
"dbo","cmc_acrh_red_hist","acrh_rcvd_ckno","Payment Reduction History","Refund Check Number","varchar"
"dbo","cmc_acrh_red_hist","acrh_lock_token","Payment Reduction History","Lock Token","smallint"
"dbo","cmc_acrh_red_hist","atxr_source_id","Payment Reduction History","Attachment Source Id","datetime"
