"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_agrt_auto_rt","agrt_pfx","Agreement Auto Room Type","Provider Agreement Auto Room Type Prefix ID","char"
"dbo","cmc_agrt_auto_rt","sese_id","Agreement Auto Room Type","Provider Agreement Auto Room Type Sevice Identifier","char"
"dbo","cmc_agrt_auto_rt","agrt_seq_no","Agreement Auto Room Type","Provider Agreement Auto Room Type Sequence Number","smallint"
"dbo","cmc_agrt_auto_rt","agrt_id_rel_low","Agreement Auto Room Type","Provider Agreement Auto Room Type Beginning Diagnosis Code","varchar"
"dbo","cmc_agrt_auto_rt","agrt_id_rel_high","Agreement Auto Room Type","Provider Agreement Auto Room Type Ending Related Diagnosis Code","varchar"
"dbo","cmc_agrt_auto_rt","agrt_idcd_type","Agreement Auto Room Type","ICD Version","char"
"dbo","cmc_agrt_auto_rt","agrt_rcrc_id_low","Agreement Auto Room Type","Provider Agreement Auto Room Type Beginning Revenue Code","char"
"dbo","cmc_agrt_auto_rt","agrt_rcrc_id_high","Agreement Auto Room Type","Provider Agreement Auto Room Type Ending Revenue Code","char"
"dbo","cmc_agrt_auto_rt","agrt_ipcd_meth","Agreement Auto Room Type","Provider Agreement Auto Room Type Procedure Coding Method","char"
"dbo","cmc_agrt_auto_rt","agrt_ipcd_low","Agreement Auto Room Type","Provider Agreement Auto Room Type Beginning Procedure Code","char"
"dbo","cmc_agrt_auto_rt","agrt_ipcd_high","Agreement Auto Room Type","Provider Agreement Auto Room Type Ending Procedure Code","char"
"dbo","cmc_agrt_auto_rt","agrt_age_low","Agreement Auto Room Type","Provider Agreement Auto Room Type Age From","smallint"
"dbo","cmc_agrt_auto_rt","agrt_age_high","Agreement Auto Room Type","Provider Agreement Auto Room Type Age To","smallint"
"dbo","cmc_agrt_auto_rt","agrt_fac_type","Agreement Auto Room Type","Provider Agreement Auto Room Type Type of Facility","char"
"dbo","cmc_agrt_auto_rt","agrt_bill_class","Agreement Auto Room Type","Provider Agreement Auto Room Type Hospital Billing Classification","char"
"dbo","cmc_agrt_auto_rt","agrt_frequency","Agreement Auto Room Type","Provider Agreement Auto Room Type Hospital Billing Frequency","char"
"dbo","cmc_agrt_auto_rt","pfrt_room_type","Agreement Auto Room Type","Provider Agreement Auto Room Type Identifier","char"
"dbo","cmc_agrt_auto_rt","wmds_seq_no","Agreement Auto Room Type","Provider Agreement Auto Room Type User Defined Warning Message","smallint"
"dbo","cmc_agrt_auto_rt","agrt_eff_dt","Agreement Auto Room Type","Provider Agreement Auto Room Type Effective Date","datetime"
"dbo","cmc_agrt_auto_rt","agrt_term_dt","Agreement Auto Room Type","Provider Agreement Auto Room Type Termination Date","datetime"
"dbo","cmc_agrt_auto_rt","agrt_lock_token","Agreement Auto Room Type","Lock Token","smallint"
"dbo","cmc_agrt_auto_rt","atxr_source_id","Agreement Auto Room Type","Attachment Source Id","datetime"
