"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_aprp_reps","mcre_id","Appeal Reviewers","Reviewer ID","char"
"dbo","cmc_aprp_reps","aprp_mctr_cat","Appeal Reviewers","Reviewer category","char"
"dbo","cmc_aprp_reps","aprp_mctr_scat","Appeal Reviewers","Reviewer Subcategory","char"
"dbo","cmc_aprp_reps","aprp_cred_sum","Appeal Reviewers","Credential Summary","varchar"
"dbo","cmc_aprp_reps","aprp_eff_dt","Appeal Reviewers","Reviewer effective date","datetime"
"dbo","cmc_aprp_reps","aprp_term_dt","Appeal Reviewers","Reviewer termination date","datetime"
"dbo","cmc_aprp_reps","aprp_mctr_trsn","Appeal Reviewers","Termination Reason","char"
"dbo","cmc_aprp_reps","aprp_last_upd_dtm","Appeal Reviewers","Last update date","datetime"
"dbo","cmc_aprp_reps","aprp_last_upd_usid","Appeal Reviewers","Last update user","char"
"dbo","cmc_aprp_reps","aprp_lock_token","Appeal Reviewers","Lock Token","smallint"
"dbo","cmc_aprp_reps","atxr_source_id","Appeal Reviewers","Attachment Source Id","datetime"
"dbo","cmc_aprp_reps","aprp_ire_id_nvl","Appeal Reviewers","External Reviewer ID","varchar"
