"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blbp_bill_per","blbp_ck","Individual Billing Period Table","Billing Period Contrived Key","int"
"dbo","cmc_blbp_bill_per","sbsb_ck","Individual Billing Period Table","Subscriber Contrived Key","int"
"dbo","cmc_blbp_bill_per","blbp_bill_per","Individual Billing Period Table","Individual Billing Period","smallint"
"dbo","cmc_blbp_bill_per","blbp_eff_dt","Individual Billing Period Table","Effective Date","datetime"
"dbo","cmc_blbp_bill_per","blbp_term_dt","Individual Billing Period Table","Termination Date","datetime"
"dbo","cmc_blbp_bill_per","blbp_void_ind","Individual Billing Period Table","Void Indicator","char"
"dbo","cmc_blbp_bill_per","blbp_bill_ind","Individual Billing Period Table","Billing Indicator","char"
"dbo","cmc_blbp_bill_per","grgr_ck","Individual Billing Period Table","Group Contrived Key","int"
"dbo","cmc_blbp_bill_per","blbp_lock_token","Individual Billing Period Table","Lock Token","smallint"
"dbo","cmc_blbp_bill_per","atxr_source_id","Individual Billing Period Table","Attachment Source Id","datetime"
"dbo","cmc_blbp_bill_per","sys_last_upd_dtm","Individual Billing Period Table","Last Update Datetime","datetime"
"dbo","cmc_blbp_bill_per","sys_usus_id","Individual Billing Period Table","Last Update User ID","varchar"
"dbo","cmc_blbp_bill_per","sys_dbuser_id","Individual Billing Period Table","Last Update DBMS User ID","varchar"
