"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bldi_discretn","blei_ck","Discretionary Billing Item Entry Table","Billing Entity Contrived Key","int"
"dbo","cmc_bldi_discretn","blbl_due_dt","Discretionary Billing Item Entry Table","Due date","datetime"
"dbo","cmc_bldi_discretn","bldi_seq_no","Discretionary Billing Item Entry Table","Data Row Sequence Number","smallint"
"dbo","cmc_bldi_discretn","bldi_update_dtm","Discretionary Billing Item Entry Table","Data Row Last Update Date & Time","datetime"
"dbo","cmc_bldi_discretn","bldi_print_seq","Discretionary Billing Item Entry Table","Print Sequence","smallint"
"dbo","cmc_bldi_discretn","bldi_disp_cd","Discretionary Billing Item Entry Table","Disposition Code","char"
"dbo","cmc_bldi_discretn","bldi_prem_fee_ind","Discretionary Billing Item Entry Table","Premium Fee Indicator","char"
"dbo","cmc_bldi_discretn","bldi_desc","Discretionary Billing Item Entry Table","Discretionary Item Description","char"
"dbo","cmc_bldi_discretn","pmfa_id","Discretionary Billing Item Entry Table","Fee ID or Discount ID","char"
"dbo","cmc_bldi_discretn","bldi_fee_disc_amt","Discretionary Billing Item Entry Table","Discretionary Fee or Discount Amount","money"
"dbo","cmc_bldi_discretn","cspi_id","Discretionary Billing Item Entry Table","Plan ID","char"
"dbo","cmc_bldi_discretn","pdpd_id","Discretionary Billing Item Entry Table","Product ID","char"
"dbo","cmc_bldi_discretn","pdbl_id","Discretionary Billing Item Entry Table","Billing Component ID","char"
"dbo","cmc_bldi_discretn","bldi_lvs_sb","Discretionary Billing Item Entry Table","Subscriber Lives","smallint"
"dbo","cmc_bldi_discretn","bldi_lvs_dep","Discretionary Billing Item Entry Table","Dependent Lives","smallint"
"dbo","cmc_bldi_discretn","bldi_vol","Discretionary Billing Item Entry Table","Volume","int"
"dbo","cmc_bldi_discretn","bldi_prem_sb","Discretionary Billing Item Entry Table","Subscriber Premium","money"
"dbo","cmc_bldi_discretn","bldi_prem_dep","Discretionary Billing Item Entry Table","Dependent Premium","money"
"dbo","cmc_bldi_discretn","bldi_liab_lmt_sb","Discretionary Billing Item Entry Table","Liability Limit Subscriber","money"
"dbo","cmc_bldi_discretn","bldi_liab_lmt_dep","Discretionary Billing Item Entry Table","Liability Limit Dependent","money"
"dbo","cmc_bldi_discretn","mcre_crcr_id","Discretionary Billing Item Entry Table","Managed Care Related Entity Carrier ID","char"
"dbo","cmc_bldi_discretn","afcp_per_no","Discretionary Billing Item Entry Table","Paid Period Begin Date","int"
"dbo","cmc_bldi_discretn","grgr_ck","Discretionary Billing Item Entry Table","Group Contrived Key","int"
"dbo","cmc_bldi_discretn","sgsg_ck","Discretionary Billing Item Entry Table","Subgroup ID","int"
"dbo","cmc_bldi_discretn","bldi_aso_amt","Discretionary Billing Item Entry Table","ASO Claim","money"
"dbo","cmc_bldi_discretn","bldi_ssl_amt","Discretionary Billing Item Entry Table","Below Stop Loss","money"
"dbo","cmc_bldi_discretn","bldi_extracont_amt","Discretionary Billing Item Entry Table","Extra Contractual Claim","money"
"dbo","cmc_bldi_discretn","usus_id","Discretionary Billing Item Entry Table","User Identifier","char"
"dbo","cmc_bldi_discretn","bldi_hsa_amt","Discretionary Billing Item Entry Table","HRA Amount","money"
"dbo","cmc_bldi_discretn","bldi_lock_token","Discretionary Billing Item Entry Table","Lock Token","smallint"
"dbo","cmc_bldi_discretn","atxr_source_id","Discretionary Billing Item Entry Table","Attachment Source Id","datetime"
