"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blft_fee_totl","blft_ck","Billing Fees Total Table","Billing Fee Total Contrived Key","int"
"dbo","cmc_blft_fee_totl","blei_ck","Billing Fees Total Table","Billing Entity Contrived Key","int"
"dbo","cmc_blft_fee_totl","blbl_due_dt","Billing Fees Total Table","Billing Due Date","datetime"
"dbo","cmc_blft_fee_totl","pmfa_id","Billing Fees Total Table","ID","char"
"dbo","cmc_blft_fee_totl","blft_cov_due_dt","Billing Fees Total Table","Coverage Due Date","datetime"
"dbo","cmc_blft_fee_totl","blft_cov_from_dt","Billing Fees Total Table","Coverage From Date","datetime"
"dbo","cmc_blft_fee_totl","blft_source","Billing Fees Total Table","Fee Calculation Source","char"
"dbo","cmc_blft_fee_totl","blft_create_dtm","Billing Fees Total Table","Create Date Time","datetime"
"dbo","cmc_blft_fee_totl","blft_cov_thru_dt","Billing Fees Total Table","Coverage Through Date","datetime"
"dbo","cmc_blft_fee_totl","blft_disp_cd","Billing Fees Total Table","Disposition Code","char"
"dbo","cmc_blft_fee_totl","blft_invoice_dtm","Billing Fees Total Table","Invoice Create Date time","datetime"
"dbo","cmc_blft_fee_totl","blft_specimen_ind","Billing Fees Total Table","Specimen Bill Indicator","char"
"dbo","cmc_blft_fee_totl","blft_fee_amt","Billing Fees Total Table","Fee Amount","money"
"dbo","cmc_blft_fee_totl","blft_fam_cnt","Billing Fees Total Table","Family Count","int"
"dbo","cmc_blft_fee_totl","blft_lvs","Billing Fees Total Table","Fee Lives","int"
"dbo","cmc_blft_fee_totl","blft_prem","Billing Fees Total Table","Fee Premium","money"
"dbo","cmc_blft_fee_totl","blft_lock_token","Billing Fees Total Table","Lock Token","smallint"
"dbo","cmc_blft_fee_totl","sys_last_upd_dtm","Billing Fees Total Table","Last Update Datetime","datetime"
"dbo","cmc_blft_fee_totl","sys_usus_id","Billing Fees Total Table","Last Update User ID","varchar"
"dbo","cmc_blft_fee_totl","sys_dbuser_id","Billing Fees Total Table","Last Update DBMS User ID","varchar"
