"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blhd_hcfa_dtl","blhd_row_id","HCFA Monthly Membership Detail","Row ID","numeric"
"dbo","cmc_blhd_hcfa_dtl","blei_ck","HCFA Monthly Membership Detail","Billing Entity Contrived Key","int"
"dbo","cmc_blhd_hcfa_dtl","blbl_due_dt","HCFA Monthly Membership Detail","Due Date","datetime"
"dbo","cmc_blhd_hcfa_dtl","cspi_id","HCFA Monthly Membership Detail","Plan ID","char"
"dbo","cmc_blhd_hcfa_dtl","pdpd_id","HCFA Monthly Membership Detail","Product ID","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_pdbl_id_prta","HCFA Monthly Membership Detail","Medicare Part A Billing Component ID","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_pdbl_id_prtb","HCFA Monthly Membership Detail","Medicare Part B Billing Component ID","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_cov_due_dt","HCFA Monthly Membership Detail","Coverage Due Date","datetime"
"dbo","cmc_blhd_hcfa_dtl","meme_ck","HCFA Monthly Membership Detail","Member Contrived Key","int"
"dbo","cmc_blhd_hcfa_dtl","sbsb_ck","HCFA Monthly Membership Detail","Subscriber Contrived Key","int"
"dbo","cmc_blhd_hcfa_dtl","grgr_ck","HCFA Monthly Membership Detail","Group Contrived Key","int"
"dbo","cmc_blhd_hcfa_dtl","syin_inst","HCFA Monthly Membership Detail","Syin Instance","bigint"
"dbo","cmc_blhd_hcfa_dtl","blhd_input_row_no","HCFA Monthly Membership Detail","Input Row ID","int"
"dbo","cmc_blhd_hcfa_dtl","bgbg_id","HCFA Monthly Membership Detail","Billing Group ID","char"
"dbo","cmc_blhd_hcfa_dtl","meme_hicn","HCFA Monthly Membership Detail","Member HCFA Claim Number","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_run_dt","HCFA Monthly Membership Detail","Run Date","datetime"
"dbo","cmc_blhd_hcfa_dtl","blhd_adj_rsn_cd","HCFA Monthly Membership Detail","Adjustment Reason Code","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_last_name","HCFA Monthly Membership Detail","Last Name","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_first_name","HCFA Monthly Membership Detail","First Name","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_mid_init","HCFA Monthly Membership Detail","Middle Initial","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_birth_dt","HCFA Monthly Membership Detail","Date of Birth","datetime"
"dbo","cmc_blhd_hcfa_dtl","blhd_prta_ind","HCFA Monthly Membership Detail","Medicare Part A Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_prtb_ind","HCFA Monthly Membership Detail","Medicare Part B Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_sex","HCFA Monthly Membership Detail","Sex","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_scc","HCFA Monthly Membership Detail","State County Code","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_age_gr","HCFA Monthly Membership Detail","Age Grouping","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_out_area_ind","HCFA Monthly Membership Detail","Out of Area Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_hspc_ind","HCFA Monthly Membership Detail","Hospice Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_esrd_ind","HCFA Monthly Membership Detail","ESRD Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_inst_ind","HCFA Monthly Membership Detail","Institutionalized Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_nhc_ind","HCFA Monthly Membership Detail","Nursing Home Certifiable Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_mecd_ind","HCFA Monthly Membership Detail","Medicaid Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_wkag_ind","HCFA Monthly Membership Detail","Working Aged Indicator","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_no_mos","HCFA Monthly Membership Detail","Number of Months","smallint"
"dbo","cmc_blhd_hcfa_dtl","blhd_prta_amt","HCFA Monthly Membership Detail","Medicare Part A Premium Amount","money"
"dbo","cmc_blhd_hcfa_dtl","blhd_prtb_amt","HCFA Monthly Membership Detail","Medicare Part B Premium Amount","money"
"dbo","cmc_blhd_hcfa_dtl","blhd_pbp_id","HCFA Monthly Membership Detail","Plan benefit Package ID (PBP ID)","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_race_cd","HCFA Monthly Membership Detail","N/A Future Use","char"
"dbo","cmc_blhd_hcfa_dtl","blhd_lock_token","HCFA Monthly Membership Detail","Lock Token","smallint"
"dbo","cmc_blhd_hcfa_dtl","atxr_source_id","HCFA Monthly Membership Detail","Attachment Source Id","datetime"
