"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blpf_profile","blpf_ck","Billing Profile","Billing Profile Contrived Key","int"
"dbo","cmc_blpf_profile","blpf_id","Billing Profile","Billing Profile ID","char"
"dbo","cmc_blpf_profile","blpf_desc","Billing Profile","Billing Profile Description","char"
"dbo","cmc_blpf_profile","blpf_sts","Billing Profile","Profile Status","char"
"dbo","cmc_blpf_profile","blpf_bgbg_ind","Billing Profile","Profile Applicable to Billing Group","char"
"dbo","cmc_blpf_profile","blpf_grgr_ind","Billing Profile","Profile Applicable to Group","char"
"dbo","cmc_blpf_profile","blpf_sgsg_ind","Billing Profile","Profile Applicable to Subgroup","char"
"dbo","cmc_blpf_profile","blpf_sbsb_ind","Billing Profile","Profile Applicable to Subscriber","char"
"dbo","cmc_blpf_profile","blpf_lock_token","Billing Profile","Lock Token","smallint"
"dbo","cmc_blpf_profile","atxr_source_id","Billing Profile","Attachment Source Id","datetime"
