"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blpt_plan_totl","blei_ck","Cap/Claims Billing Component Totals for Alternate Funding","Billing Entity Contrived Key","int"
"dbo","cmc_blpt_plan_totl","blbl_due_dt","Cap/Claims Billing Component Totals for Alternate Funding","Due Date","datetime"
"dbo","cmc_blpt_plan_totl","afcp_per_no","Cap/Claims Billing Component Totals for Alternate Funding","AFA Period Number","int"
"dbo","cmc_blpt_plan_totl","grgr_ck","Cap/Claims Billing Component Totals for Alternate Funding","Group Contrived Key","int"
"dbo","cmc_blpt_plan_totl","sgsg_ck","Cap/Claims Billing Component Totals for Alternate Funding","Subgroup Contrived Key","int"
"dbo","cmc_blpt_plan_totl","cspi_id","Cap/Claims Billing Component Totals for Alternate Funding","Plan ID","char"
"dbo","cmc_blpt_plan_totl","pdpd_id","Cap/Claims Billing Component Totals for Alternate Funding","Product ID","char"
"dbo","cmc_blpt_plan_totl","blpt_source","Cap/Claims Billing Component Totals for Alternate Funding","Payment/adjustment source","char"
"dbo","cmc_blpt_plan_totl","blpt_seq_no","Cap/Claims Billing Component Totals for Alternate Funding","Sequence number","int"
"dbo","cmc_blpt_plan_totl","blpt_ck","Cap/Claims Billing Component Totals for Alternate Funding","Cap/Claims Billing Component Totals Contrived Key","int"
"dbo","cmc_blpt_plan_totl","blpt_invoice_dtm","Cap/Claims Billing Component Totals for Alternate Funding","Invoice date time","datetime"
"dbo","cmc_blpt_plan_totl","blpt_billed_amt","Cap/Claims Billing Component Totals for Alternate Funding","Billed Amount","money"
"dbo","cmc_blpt_plan_totl","blpt_run_out_ind","Cap/Claims Billing Component Totals for Alternate Funding","Run out indicator","char"
"dbo","cmc_blpt_plan_totl","lobd_id","Cap/Claims Billing Component Totals for Alternate Funding","Line of Business ID","char"
"dbo","cmc_blpt_plan_totl","blcn_id","Cap/Claims Billing Component Totals for Alternate Funding","Contract ID","char"
"dbo","cmc_blpt_plan_totl","blpt_red_ssl_amt","Cap/Claims Billing Component Totals for Alternate Funding","Total Reduction SSL amount","money"
"dbo","cmc_blpt_plan_totl","blpt_red_ssl_exc","Cap/Claims Billing Component Totals for Alternate Funding","Total reduction SSL excess amount","money"
"dbo","cmc_blpt_plan_totl","blpt_red_aso_amt","Cap/Claims Billing Component Totals for Alternate Funding","Total reduction ASO amount","money"
"dbo","cmc_blpt_plan_totl","blpt_ssl_amt","Cap/Claims Billing Component Totals for Alternate Funding","SSL Amount","money"
"dbo","cmc_blpt_plan_totl","blpt_ssl_exc_amt","Cap/Claims Billing Component Totals for Alternate Funding","SSL excess amount","money"
"dbo","cmc_blpt_plan_totl","blpt_extracont_amt","Cap/Claims Billing Component Totals for Alternate Funding","Extra-contractual amount","money"
"dbo","cmc_blpt_plan_totl","blpt_aso_amt","Cap/Claims Billing Component Totals for Alternate Funding","Amount not subject to stop-loss","money"
"dbo","cmc_blpt_plan_totl","blpt_comm_incl_ind","Cap/Claims Billing Component Totals for Alternate Funding","Commission Include Indicator","char"
"dbo","cmc_blpt_plan_totl","blpt_pymt_cnt","Cap/Claims Billing Component Totals for Alternate Funding","Payment Count","int"
"dbo","cmc_blpt_plan_totl","blpt_create_dtm","Cap/Claims Billing Component Totals for Alternate Funding","Create Date","datetime"
"dbo","cmc_blpt_plan_totl","usus_id","Cap/Claims Billing Component Totals for Alternate Funding","User Identifier","char"
"dbo","cmc_blpt_plan_totl","blpt_fnac_pcs_ind","Cap/Claims Billing Component Totals for Alternate Funding","FNAC process indicator","char"
"dbo","cmc_blpt_plan_totl","blpt_red_hsa_amt","Cap/Claims Billing Component Totals for Alternate Funding","Reduction HRA payment","money"
"dbo","cmc_blpt_plan_totl","blpt_hsa_amt","Cap/Claims Billing Component Totals for Alternate Funding","HRA Payment Amount","money"
"dbo","cmc_blpt_plan_totl","blpt_lock_token","Cap/Claims Billing Component Totals for Alternate Funding","Lock Token","smallint"
"dbo","cmc_blpt_plan_totl","atxr_source_id","Cap/Claims Billing Component Totals for Alternate Funding","Attachment Source Id","datetime"
