"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blrc_bill_rcpt","blei_ck","Billing Entity Payment Information Table","Billing Entity Contrived Key","int"
"dbo","cmc_blrc_bill_rcpt","blrc_seq_no","Billing Entity Payment Information Table","Data Row Sequence Number","int"
"dbo","cmc_blrc_bill_rcpt","rcpt_id","Billing Entity Payment Information Table","Receipt ID","varchar"
"dbo","cmc_blrc_bill_rcpt","blrc_create_dtm","Billing Entity Payment Information Table","Data Row Creation Date and Time","datetime"
"dbo","cmc_blrc_bill_rcpt","blrc_amt","Billing Entity Payment Information Table","Receipt Amount","money"
"dbo","cmc_blrc_bill_rcpt","blrc_in_out_ind","Billing Entity Payment Information Table","Payment In Out Indicator","char"
"dbo","cmc_blrc_bill_rcpt","blrc_suspense_ind","Billing Entity Payment Information Table","Suspense Indicator","char"
"dbo","cmc_blrc_bill_rcpt","rcpt_mctr_hold","Billing Entity Payment Information Table","Holding Account","char"
"dbo","cmc_blrc_bill_rcpt","blbl_due_dt","Billing Entity Payment Information Table","Billing Due Date","datetime"
"dbo","cmc_blrc_bill_rcpt","blcn_id","Billing Entity Payment Information Table","Billing Contract ID","char"
"dbo","cmc_blrc_bill_rcpt","blrc_alloc_rcpt_id","Billing Entity Payment Information Table","Allocated Receipt ID","varchar"
"dbo","cmc_blrc_bill_rcpt","blrc_blbl_paid_sts","Billing Entity Payment Information Table","Billing Status","char"
"dbo","cmc_blrc_bill_rcpt","blrc_blcs_paid_sts","Billing Entity Payment Information Table","Billing Contract Sub Total Payment Status","char"
"dbo","cmc_blrc_bill_rcpt","blrc_man_alloc_ind","Billing Entity Payment Information Table","Manual Allocation Indicator","char"
"dbo","cmc_blrc_bill_rcpt","blrc_prcs_id","Billing Entity Payment Information Table","Billing Process ID","char"
"dbo","cmc_blrc_bill_rcpt","usus_id","Billing Entity Payment Information Table","User Identifier","char"
"dbo","cmc_blrc_bill_rcpt","blrc_lock_token","Billing Entity Payment Information Table","Lock Token","smallint"
