"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpce_eob_amts","ckpy_ref_id","Benefit Print Table Accumulator Information for Paid Claims","Payment Reference ID","char"
"dbo","cmc_bpce_eob_amts","clcl_id","Benefit Print Table Accumulator Information for Paid Claims","Claim Identifier","char"
"dbo","cmc_bpce_eob_amts","ebcl_type","Benefit Print Table Accumulator Information for Paid Claims","EOB Accumulator Type","char"
"dbo","cmc_bpce_eob_amts","ebcl_year_ind","Benefit Print Table Accumulator Information for Paid Claims","EOB Amount Year Indicator","char"
"dbo","cmc_bpce_eob_amts","acac_acc_no","Benefit Print Table Accumulator Information for Paid Claims","Accumulator Number","smallint"
"dbo","cmc_bpce_eob_amts","ebcl_pdbc_pfx_max","Benefit Print Table Accumulator Information for Paid Claims","Accumulator Deductible Component Prefix","char"
"dbo","cmc_bpce_eob_amts","cleb_cur_year","Benefit Print Table Accumulator Information for Paid Claims","Claim EOB Current Year","datetime"
"dbo","cmc_bpce_eob_amts","cleb_matx_amt1","Benefit Print Table Accumulator Information for Paid Claims","Member Accumulator Amount 1","money"
"dbo","cmc_bpce_eob_amts","cleb_meac_amt1","Benefit Print Table Accumulator Information for Paid Claims","","money"
"dbo","cmc_bpce_eob_amts","cleb_matx_amt2","Benefit Print Table Accumulator Information for Paid Claims","Member Accumulator Amount 2","money"
"dbo","cmc_bpce_eob_amts","cleb_meac_amt2","Benefit Print Table Accumulator Information for Paid Claims","","money"
"dbo","cmc_bpce_eob_amts","cleb_faac_amt1","Benefit Print Table Accumulator Information for Paid Claims","","money"
"dbo","cmc_bpce_eob_amts","cleb_fatx_amt1","Benefit Print Table Accumulator Information for Paid Claims","Family Accumulator Amount 1","money"
"dbo","cmc_bpce_eob_amts","cleb_faac_amt2","Benefit Print Table Accumulator Information for Paid Claims","","money"
"dbo","cmc_bpce_eob_amts","cleb_fatx_amt2","Benefit Print Table Accumulator Information for Paid Claims","Family Accumulator Amount 2","money"
"dbo","cmc_bpce_eob_amts","dede_agg_person","Benefit Print Table Accumulator Information for Paid Claims","Aggregate Deductible Per Person","smallint"
"dbo","cmc_bpce_eob_amts","dede_fam_amt","Benefit Print Table Accumulator Information for Paid Claims","Family Amount Deductible","money"
"dbo","cmc_bpce_eob_amts","dede_meme_amt","Benefit Print Table Accumulator Information for Paid Claims","Member Deductible Amount","money"
"dbo","cmc_bpce_eob_amts","ltlt_amt1","Benefit Print Table Accumulator Information for Paid Claims","Limit Amount One","money"
"dbo","cmc_bpce_eob_amts","ltlt_amt2","Benefit Print Table Accumulator Information for Paid Claims","Limit Amount Two","money"
"dbo","cmc_bpce_eob_amts","cleb_matx_ctr1_nvl","Benefit Print Table Accumulator Information for Paid Claims","Member Accumulator Counter 1","numeric"
"dbo","cmc_bpce_eob_amts","cleb_matx_ctr2_nvl","Benefit Print Table Accumulator Information for Paid Claims","Member Accumulator Counter 2","numeric"
"dbo","cmc_bpce_eob_amts","cleb_fatx_ctr1_nvl","Benefit Print Table Accumulator Information for Paid Claims","Family Accumulator Counter 1","numeric"
"dbo","cmc_bpce_eob_amts","cleb_fatx_ctr2_nvl","Benefit Print Table Accumulator Information for Paid Claims","Family Accumulator Counter 2","numeric"
"dbo","cmc_bpce_eob_amts","cleb_fatx_persons_nvl","Benefit Print Table Accumulator Information for Paid Claims","Family Accumulator Number of Persons Satisfied","smallint"
