"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpep_expl","ckpy_ref_id","Benefit Print Table Explanation","Check Payment Reference ID","char"
"dbo","cmc_bpep_expl","clcl_id","Benefit Print Table Explanation","Claim Identifier","char"
"dbo","cmc_bpep_expl","cdml_seq_no","Benefit Print Table Explanation","Claim line number","smallint"
"dbo","cmc_bpep_expl","bpep_cob_disall","Benefit Print Table Explanation","COB Disallow Amount","money"
"dbo","cmc_bpep_expl","bpep_cob_dis_liab","Benefit Print Table Explanation","COB Disallow Liability Indicator","char"
"dbo","cmc_bpep_expl","bpep_cob_dis_excd","Benefit Print Table Explanation","COB Disallow Explanation","char"
"dbo","cmc_bpep_expl","bpep_cob_dis_txt1","Benefit Print Table Explanation","COB Explanation Text 1","varchar"
"dbo","cmc_bpep_expl","bpep_cob_dis_txt2","Benefit Print Table Explanation","COB Disallow Explanation Text 2","varchar"
"dbo","cmc_bpep_expl","bpep_lock_token","Benefit Print Table Explanation","Lock Token","smallint"
"dbo","cmc_bpep_expl","atxr_source_id","Benefit Print Table Explanation","Attachment Source Id","datetime"
"dbo","cmc_bpep_expl","bpep_sc_excl_nvl","Benefit Print Table Explanation","Service Category Amount EXCD","money"
"dbo","cmc_bpep_expl","bpep_sc_excl_excd_nvl","Benefit Print Table Explanation","service Category Exlusion EXCD","char"
"dbo","cmc_bpep_expl","bpep_sc_excl_txt1_nvl","Benefit Print Table Explanation","Service Category Exclusion disallow text1","varchar"
"dbo","cmc_bpep_expl","bpep_sc_excl_txt2_nvl","Benefit Print Table Explanation","Service Category Exclusion disallow text2","varchar"
"dbo","cmc_bpep_expl","bpep_sc_excl_liab_nvl","Benefit Print Table Explanation","Service Category Exclusion liability Indicator","char"
"dbo","cmc_bpep_expl","bpep_sc_amt_lmt_nvl","Benefit Print Table Explanation","Service Category Amount disallow text1","money"
"dbo","cmc_bpep_expl","bpep_sc_amt_excd_nvl","Benefit Print Table Explanation","Service Category Amount disallow explanation code","char"
"dbo","cmc_bpep_expl","bpep_sc_amt_txt1_nvl","Benefit Print Table Explanation","Service Category Amount disallow explanation code text1","varchar"
"dbo","cmc_bpep_expl","bpep_sc_amt_txt2_nvl","Benefit Print Table Explanation","Service Category Amount disallow explanation code text2","varchar"
"dbo","cmc_bpep_expl","bpep_sc_amt_liab_nvl","Benefit Print Table Explanation","Service Category Amount disallow liability indicator","char"
"dbo","cmc_bpep_expl","bpep_mr_dis_amt_nvl","Benefit Print Table Explanation","Medicaid Reclamation Disallow Amount","money"
"dbo","cmc_bpep_expl","bpep_mr_dis_excd_nvl","Benefit Print Table Explanation","Medicaid Reclamation Disallow Explanation Code","char"
"dbo","cmc_bpep_expl","bpep_mr_excd_txt1_nvl","Benefit Print Table Explanation","Medicaid Reclamation Disallow Text 1","varchar"
"dbo","cmc_bpep_expl","bpep_mr_excd_txt2_nvl","Benefit Print Table Explanation","Medicaid Reclamation Disallow Text 2","varchar"
"dbo","cmc_bpep_expl","bpep_mr_excd_liab_nvl","Benefit Print Table Explanation","Medicaid Reclamation Disallow Liability Indicator","char"
