"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bphm_clm_dtl","ckpy_ref_id","HIPAA Medical Claim Line data.","Payment Summary Ref ID","char"
"dbo","cmc_bphm_clm_dtl","clcl_id","HIPAA Medical Claim Line data.","Claim Identifier","char"
"dbo","cmc_bphm_clm_dtl","cdml_seq_no","HIPAA Medical Claim Line data.","Sequence number","smallint"
"dbo","cmc_bphm_clm_dtl","cdml_ext_line_no","HIPAA Medical Claim Line data.","Line item sequence number","smallint"
"dbo","cmc_bphm_clm_dtl","bphm_pnlty_835_cd","HIPAA Medical Claim Line data.","Penalty code","char"
"dbo","cmc_bphm_clm_dtl","bphm_se_dis_835_cd","HIPAA Medical Claim Line data.","Service disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_lt_dis_835_cd","HIPAA Medical Claim Line data.","Limit disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_rw_dis_835_cd","HIPAA Medical Claim Line data.","Risk withhold disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_um_dis_835_cd","HIPAA Medical Claim Line data.","UM disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_ce_dis_835_cd","HIPAA Medical Claim Line data.","835 Clinical edit disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_disc_835_cd","HIPAA Medical Claim Line data.","Discount disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_pric_835_cd","HIPAA Medical Claim Line data.","Pricing adjustment code","char"
"dbo","cmc_bphm_clm_dtl","bphm_supdsc_835_cd","HIPAA Medical Claim Line data.","Supplemental discount reason code","char"
"dbo","cmc_bphm_clm_dtl","bphm_sd_dis_835_cd","HIPAA Medical Claim Line data.","Penalty reason code","char"
"dbo","cmc_bphm_clm_dtl","bphm_pca_835_cd","HIPAA Medical Claim Line data.","PCA adjustment code","char"
"dbo","cmc_bphm_clm_dtl","cdml_disall_835_cd","HIPAA Medical Claim Line data.","Disallow code","char"
"dbo","cmc_bphm_clm_dtl","bphm_disal_rmrk_cd","HIPAA Medical Claim Line data.","835 medical disallow remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_pnlty_rmrk_cd","HIPAA Medical Claim Line data.","835 penalty disallow remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_se_ds_rmrk_cd","HIPAA Medical Claim Line data.","835 service disallow remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_lt_ds_rmrk_cd","HIPAA Medical Claim Line data.","Limit Disallow remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_rw_ds_rmrk_cd","HIPAA Medical Claim Line data.","835 risk withhold disallow remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_um_ds_rmrk_cd","HIPAA Medical Claim Line data.","835 UM disallow remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_ce_ds_rmrk_cd","HIPAA Medical Claim Line data.","835 clinical editing disallow remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_disc_rmrk_cd","HIPAA Medical Claim Line data.","Discount remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_pric_rmrk_cd","HIPAA Medical Claim Line data.","835 pricing remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_supds_rmrk_cd","HIPAA Medical Claim Line data.","835 supplemental discount remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_sd_ds_rmrk_cd","HIPAA Medical Claim Line data.","835 penalty remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_pca_rmrk_cd","HIPAA Medical Claim Line data.","835 PCA remit remark code","char"
"dbo","cmc_bphm_clm_dtl","bphm_disal_padj_cd","HIPAA Medical Claim Line data.","835 medical disallow provider adjustment code","char"
"dbo","cmc_bphm_clm_dtl","bphm_pnlty_padj_cd","HIPAA Medical Claim Line data.","835 penalty disallow provider adjustment code","char"
"dbo","cmc_bphm_clm_dtl","bphm_se_ds_padj_cd","HIPAA Medical Claim Line data.","835 service disallow provider adjustment code","char"
"dbo","cmc_bphm_clm_dtl","bphm_lt_ds_padj_cd","HIPAA Medical Claim Line data.","835 limit disallow provider adjustment code","char"
"dbo","cmc_bphm_clm_dtl","bphm_rw_ds_padj_cd","HIPAA Medical Claim Line data.","835 risk withhold disallow provider adjustment code","char"
