"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bppc_pgm_clm","ckpy_ref_id","Batch Print Patient Care Program Claim Level Table","Check Reference ID","char"
"dbo","cmc_bppc_pgm_clm","clcl_id","Batch Print Patient Care Program Claim Level Table","Claim Identifier","char"
"dbo","cmc_bppc_pgm_clm","pgpi_id","Batch Print Patient Care Program Claim Level Table","Patient Care Program ID","varchar"
"dbo","cmc_bppc_pgm_clm","clcl_prog_cov_ind_nvl","Batch Print Patient Care Program Claim Level Table","Covering Provider Indicator","char"
"dbo","cmc_bppc_pgm_clm","pgpi_desc","Batch Print Patient Care Program Claim Level Table","Patient Care Program Description","varchar"
"dbo","cmc_bppc_pgm_clm","bppc_lock_token","Batch Print Patient Care Program Claim Level Table","Lock Token","smallint"
"dbo","cmc_bppc_pgm_clm","atxr_source_id","Batch Print Patient Care Program Claim Level Table","Attachment Source Id","datetime"
"dbo","cmc_bppc_pgm_clm","sys_last_upd_dtm","Batch Print Patient Care Program Claim Level Table","Last Update Datetime","datetime"
"dbo","cmc_bppc_pgm_clm","sys_usus_id","Batch Print Patient Care Program Claim Level Table","Last Update User ID","varchar"
"dbo","cmc_bppc_pgm_clm","sys_dbuser_id","Batch Print Patient Care Program Claim Level Table","Last Update DBMS User ID","varchar"
