"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bppd_pgm_dtl","ckpy_ref_id","Batch Print Patient Care Program Claim Line Item Table","Check Reference ID","char"
"dbo","cmc_bppd_pgm_dtl","clcl_id","Batch Print Patient Care Program Claim Line Item Table","Claim Identifier","char"
"dbo","cmc_bppd_pgm_dtl","cdml_seq_no","Batch Print Patient Care Program Claim Line Item Table","Claim Seqyence Number","smallint"
"dbo","cmc_bppd_pgm_dtl","cdml_pgpw_amt_nvl","Batch Print Patient Care Program Claim Line Item Table","Program Withhold Amount","money"
"dbo","cmc_bppd_pgm_dtl","cdml_pgpw_excd_nvl","Batch Print Patient Care Program Claim Line Item Table","Withhold Explantion Code","char"
"dbo","cmc_bppd_pgm_dtl","bppd_pgpw_txt1","Batch Print Patient Care Program Claim Line Item Table","Withhold Explanation Text 1","varchar"
"dbo","cmc_bppd_pgm_dtl","bppd_pgpw_txt2","Batch Print Patient Care Program Claim Line Item Table","Withhold Explanation Text 2","varchar"
"dbo","cmc_bppd_pgm_dtl","bppd_pgpw_liab_ind","Batch Print Patient Care Program Claim Line Item Table","Withhold Liability Indicator","char"
"dbo","cmc_bppd_pgm_dtl","cdml_pgpd_amt_nvl","Batch Print Patient Care Program Claim Line Item Table","Discount Amount","money"
"dbo","cmc_bppd_pgm_dtl","cdml_pgpd_excd_nvl","Batch Print Patient Care Program Claim Line Item Table","Discount Explanation Code","char"
"dbo","cmc_bppd_pgm_dtl","bppd_pgpd_txt1","Batch Print Patient Care Program Claim Line Item Table","Discount Explanation Code","varchar"
"dbo","cmc_bppd_pgm_dtl","bppd_pgpd_txt2","Batch Print Patient Care Program Claim Line Item Table","Discount Explanation Code Text 2","varchar"
"dbo","cmc_bppd_pgm_dtl","bppd_pgpd_liab_ind","Batch Print Patient Care Program Claim Line Item Table","Discount Liability Indicator","char"
"dbo","cmc_bppd_pgm_dtl","bppd_lock_token","Batch Print Patient Care Program Claim Line Item Table","Lock Token","smallint"
"dbo","cmc_bppd_pgm_dtl","atxr_source_id","Batch Print Patient Care Program Claim Line Item Table","Attachment Source Id","datetime"
"dbo","cmc_bppd_pgm_dtl","sys_last_upd_dtm","Batch Print Patient Care Program Claim Line Item Table","Last Update Datetime","datetime"
"dbo","cmc_bppd_pgm_dtl","sys_usus_id","Batch Print Patient Care Program Claim Line Item Table","Last Update User ID","varchar"
"dbo","cmc_bppd_pgm_dtl","sys_dbuser_id","Batch Print Patient Care Program Claim Line Item Table","Last Update DBMS User ID","varchar"
