"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpvc_vis_clm","ckpy_ref_id","Vision Claim Details","Payment Reference ID","char"
"dbo","cmc_bpvc_vis_clm","clcl_id","Vision Claim Details","Claim Identifier","char"
"dbo","cmc_bpvc_vis_clm","syin_ref_id","Vision Claim Details","SYIN Reference Identifier","char"
"dbo","cmc_bpvc_vis_clm","clcl_paid_dt","Vision Claim Details","Claim Paid Date","datetime"
"dbo","cmc_bpvc_vis_clm","clcl_input_dt","Vision Claim Details","Claim Input Date","datetime"
"dbo","cmc_bpvc_vis_clm","clcl_recd_dt","Vision Claim Details","Claim Received Date","datetime"
"dbo","cmc_bpvc_vis_clm","clcl_acpt_dtm","Vision Claim Details","Date/Time Claim Processed","datetime"
"dbo","cmc_bpvc_vis_clm","clcl_id_adj_from","Vision Claim Details","Adjusted Claim Identifier","char"
"dbo","cmc_bpvc_vis_clm","clcl_id_crte_from","Vision Claim Details","Claim Identifier of the Original Claim","char"
"dbo","cmc_bpvc_vis_clm","clcl_cl_type","Vision Claim Details","Claim Type","char"
"dbo","cmc_bpvc_vis_clm","clcl_cl_sub_type","Vision Claim Details","Claim Sub Type","char"
"dbo","cmc_bpvc_vis_clm","clcl_ntwk_ind","Vision Claim Details","Network Indicator","char"
"dbo","cmc_bpvc_vis_clm","clcl_micro_id","Vision Claim Details","Microfiche Identifier","varchar"
"dbo","cmc_bpvc_vis_clm","cici_id","Vision Claim Details","Client Identifier","char"
"dbo","cmc_bpvc_vis_clm","clcl_pa_acct_no","Vision Claim Details","Patient Account Number","varchar"
"dbo","cmc_bpvc_vis_clm","clcl_pre_price_ind","Vision Claim Details","Line Item Pre-Pricing Indicator","char"
"dbo","cmc_bpvc_vis_clm","clcl_pap_eob_ind","Vision Claim Details","Paper Explanation of Benefits Indicator","char"
"dbo","cmc_bpvc_vis_clm","clcl_ext_auth_no","Vision Claim Details","External Authorization Number","varchar"
"dbo","cmc_bpvc_vis_clm","cscs_id","Vision Claim Details","Class Identifier","char"
"dbo","cmc_bpvc_vis_clm","nwnw_id","Vision Claim Details","Network Identifier","varchar"
"dbo","cmc_bpvc_vis_clm","network_name","Vision Claim Details","Network Name","varchar"
"dbo","cmc_bpvc_vis_clm","pdds_prod_type","Vision Claim Details","Product Type","char"
"dbo","cmc_bpvc_vis_clm","cspi_id","Vision Claim Details","Class Plan ID","char"
"dbo","cmc_bpvc_vis_clm","plds_desc","Vision Claim Details","Plan Description","varchar"
"dbo","cmc_bpvc_vis_clm","pagr_id","Vision Claim Details","Parent Group ID","char"
"dbo","cmc_bpvc_vis_clm","pagr_name","Vision Claim Details","Parent Group Name","varchar"
"dbo","cmc_bpvc_vis_clm","grgr_ck","Vision Claim Details","Group Contrived Key","int"
"dbo","cmc_bpvc_vis_clm","grgr_id","Vision Claim Details","Group Identifier","char"
"dbo","cmc_bpvc_vis_clm","grgr_name","Vision Claim Details","Group Name","varchar"
"dbo","cmc_bpvc_vis_clm","grgr_mctr_type","Vision Claim Details","Group Type","char"
