"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bsme_mem_strat","bsme_pfx","Member Benefit Strategies","Prefix","char"
"dbo","cmc_bsme_mem_strat","svgr_id","Member Benefit Strategies","Service Grouping","char"
"dbo","cmc_bsme_mem_strat","bsme_pkg_ind","Member Benefit Strategies","Package Indicator","char"
"dbo","cmc_bsme_mem_strat","bsme_eff_dt","Member Benefit Strategies","Effective Date","datetime"
"dbo","cmc_bsme_mem_strat","bsme_term_dt","Member Benefit Strategies","Termination Date","datetime"
"dbo","cmc_bsme_mem_strat","bsme_strategy_ind","Member Benefit Strategies","Member Benefit Strategy","char"
"dbo","cmc_bsme_mem_strat","bsme_pct","Member Benefit Strategies","Percentage","money"
"dbo","cmc_bsme_mem_strat","bsme_pct2","Member Benefit Strategies","Percent 2","money"
"dbo","cmc_bsme_mem_strat","bsme_amt","Member Benefit Strategies","Amount","money"
"dbo","cmc_bsme_mem_strat","bsme_aoop_amt","Member Benefit Strategies","Additional Out of Pocket","money"
"dbo","cmc_bsme_mem_strat","bsme_moop_factor","Member Benefit Strategies","Out of Pocket Factor","money"
"dbo","cmc_bsme_mem_strat","svru_rule","Member Benefit Strategies","Service Grouping Rule","char"
"dbo","cmc_bsme_mem_strat","bsme_alt_lobd_id","Member Benefit Strategies","Alternate Line of Business","char"
"dbo","cmc_bsme_mem_strat","bsme_exp_cat","Member Benefit Strategies","Experience Category","char"
"dbo","cmc_bsme_mem_strat","bsme_acct_cat","Member Benefit Strategies","Accounting Category","char"
"dbo","cmc_bsme_mem_strat","bsme_lock_token","Member Benefit Strategies","Lock Token","smallint"
"dbo","cmc_bsme_mem_strat","atxr_source_id","Member Benefit Strategies","Attachment Source Id","datetime"
"dbo","cmc_bsme_mem_strat","sys_last_upd_dtm","Member Benefit Strategies","Last Update Datetime","datetime"
"dbo","cmc_bsme_mem_strat","sys_usus_id","Member Benefit Strategies","Last Update User ID","varchar"
"dbo","cmc_bsme_mem_strat","sys_dbuser_id","Member Benefit Strategies","Last Update DBMS User ID","varchar"
