"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ccfc_cp_form","ccfi_id","Care Plan Plus Specifics for a Care Plan Template","Care Plan (or Assessment) ID","char"
"dbo","cmc_ccfc_cp_form","ccfc_seq_no","Care Plan Plus Specifics for a Care Plan Template","Form Sequence Number - Care Plan Plus","smallint"
"dbo","cmc_ccfc_cp_form","ccfc_ind","Care Plan Plus Specifics for a Care Plan Template","Level identifier","char"
"dbo","cmc_ccfc_cp_form","ccid_type_cp","Care Plan Plus Specifics for a Care Plan Template","Item Type - Care Plan Plus","char"
"dbo","cmc_ccfc_cp_form","ccid_id_cp","Care Plan Plus Specifics for a Care Plan Template","Care Plan Item ID","char"
"dbo","cmc_ccfc_cp_form","ccfc_mctr_prty","Care Plan Plus Specifics for a Care Plan Template","Priority - User-defined & Care Plan Plus","char"
"dbo","cmc_ccfc_cp_form","mcpd_source_ccfc","Care Plan Plus Specifics for a Care Plan Template","Data Set Identifier","char"
"dbo","cmc_ccfc_cp_form","ccfc_last_upd_dtm","Care Plan Plus Specifics for a Care Plan Template","Last Update Date Time","datetime"
"dbo","cmc_ccfc_cp_form","ccfc_last_upd_usid","Care Plan Plus Specifics for a Care Plan Template","Last Updated User ID","char"
"dbo","cmc_ccfc_cp_form","ccfc_lock_token","Care Plan Plus Specifics for a Care Plan Template","Lock Token","smallint"
"dbo","cmc_ccfc_cp_form","atxr_source_id","Care Plan Plus Specifics for a Care Plan Template","Attachment Source Id","datetime"
