"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ccfq_asmt_ques","ccfi_id","Assessment Form - Questions Data","Assessment ID","char"
"dbo","cmc_ccfq_asmt_ques","ccfq_seq_no","Assessment Form - Questions Data","Sequence Number - Assessment Question Internal","smallint"
"dbo","cmc_ccfq_asmt_ques","ccfq_ques_no","Assessment Form - Questions Data","Question #","smallint"
"dbo","cmc_ccfq_asmt_ques","ccid_id_ques","Assessment Form - Questions Data","Question ID","char"
"dbo","cmc_ccfq_asmt_ques","ccfq_ui_style","Assessment Form - Questions Data","Answer Format Style Identifier","char"
"dbo","cmc_ccfq_asmt_ques","mcpd_source_ccfq","Assessment Form - Questions Data","Answer Format Quantity","char"
"dbo","cmc_ccfq_asmt_ques","ccfq_mcpd_quant","Assessment Form - Questions Data","Answer Format Quantity","smallint"
"dbo","cmc_ccfq_asmt_ques","ccfq_last_upd_dtm","Assessment Form - Questions Data","Last Update Date and Time","datetime"
"dbo","cmc_ccfq_asmt_ques","ccfq_last_upd_usid","Assessment Form - Questions Data","Last Update User ID","char"
"dbo","cmc_ccfq_asmt_ques","ccfq_lock_token","Assessment Form - Questions Data","Lock Token","smallint"
"dbo","cmc_ccfq_asmt_ques","atxr_source_id","Assessment Form - Questions Data","Attachment Source Id","datetime"
