"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdce_li_edit","clcl_id","Claim Line Item Clinical Editing Data","Claim Identifier","char"
"dbo","cmc_cdce_li_edit","cdml_seq_no","Claim Line Item Clinical Editing Data","Medical Line item Sequence Number","smallint"
"dbo","cmc_cdce_li_edit","meme_ck","Claim Line Item Clinical Editing Data","Member Contrived Key","int"
"dbo","cmc_cdce_li_edit","cdce_edit_act","Claim Line Item Clinical Editing Data","Clinical Edit Action","char"
"dbo","cmc_cdce_li_edit","cdce_edit_type","Claim Line Item Clinical Editing Data","Clinical Edit Type","char"
"dbo","cmc_cdce_li_edit","cdce_fmt_ind","Claim Line Item Clinical Editing Data","Clinical Edit Format Change Indicator","char"
"dbo","cmc_cdce_li_edit","cdce_comb_excd","Claim Line Item Clinical Editing Data","Clinical Edit Combined Charges Indicator","char"
"dbo","cmc_cdce_li_edit","cdce_clcl_id","Claim Line Item Clinical Editing Data","Clinical Edit Claim Identifier","char"
"dbo","cmc_cdce_li_edit","cdce_cdml_seq_no","Claim Line Item Clinical Editing Data","Clinical Edit Claim Line-Item Sequence Number","smallint"
"dbo","cmc_cdce_li_edit","cdce_vend_edit_ind","Claim Line Item Clinical Editing Data","Clinical Edit Claim Line Item Vendor Edit Indicator","char"
"dbo","cmc_cdce_li_edit","cdce_case_id","Claim Line Item Clinical Editing Data","Clinical Edit Claim Line-Item Case ID","varchar"
"dbo","cmc_cdce_li_edit","cdce_lock_token","Claim Line Item Clinical Editing Data","Lock Token","smallint"
"dbo","cmc_cdce_li_edit","atxr_source_id","Claim Line Item Clinical Editing Data","Attachment Source Id","datetime"
