"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdhl_hsa_line","clcl_id","HRA Line Level Table","Claim Identifier","char"
"dbo","cmc_cdhl_hsa_line","cdml_seq_no","HRA Line Level Table","Claim Line Sequence Number","smallint"
"dbo","cmc_cdhl_hsa_line","meme_ck","HRA Line Level Table","Member Contrived Key","int"
"dbo","cmc_cdhl_hsa_line","cdhl_consider_amt","HRA Line Level Table","Amount Considered","money"
"dbo","cmc_cdhl_hsa_line","cdhl_nonconsdr_amt","HRA Line Level Table","Amount Not Considered","money"
"dbo","cmc_cdhl_hsa_line","cdhl_disall_amt","HRA Line Level Table","Amount Disallowed","money"
"dbo","cmc_cdhl_hsa_line","excd_id","HRA Line Level Table","Explanation Code","char"
"dbo","cmc_cdhl_hsa_line","cdhl_paid_amt","HRA Line Level Table","Paid Amount","money"
"dbo","cmc_cdhl_hsa_line","cdhl_sb_pymt_amt","HRA Line Level Table","Subscriber Paid Amount","money"
"dbo","cmc_cdhl_hsa_line","cdhl_pr_pymt_amt","HRA Line Level Table","Provider Payment Amount","money"
"dbo","cmc_cdhl_hsa_line","lobd_id","HRA Line Level Table","Line of Business ID","char"
"dbo","cmc_cdhl_hsa_line","cdhl_hsa_pcs_ind","HRA Line Level Table","HRA Processing Indicator","char"
"dbo","cmc_cdhl_hsa_line","dede_pfx","HRA Line Level Table","HRA Deductible Prefix","char"
"dbo","cmc_cdhl_hsa_line","cdhl_ded_amt","HRA Line Level Table","HRA Deductible Amount","money"
"dbo","cmc_cdhl_hsa_line","cdhl_ded_acc_no","HRA Line Level Table","HRA Deductible Accumulator Number","smallint"
"dbo","cmc_cdhl_hsa_line","cdhl_lock_token","HRA Line Level Table","Lock Token","smallint"
"dbo","cmc_cdhl_hsa_line","atxr_source_id","HRA Line Level Table","Attachment Source Id","datetime"
