"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdim_l_its_msg","clcl_id","ITS Line Item Message Table","Claim Identifier","char"
"dbo","cmc_cdim_l_its_msg","cdml_seq_no","ITS Line Item Message Table","N/A","smallint"
"dbo","cmc_cdim_l_its_msg","cdim_typ","ITS Line Item Message Table","Type","char"
"dbo","cmc_cdim_l_its_msg","cdim_its_msg_cd","ITS Line Item Message Table","Message Code","char"
"dbo","cmc_cdim_l_its_msg","meme_ck","ITS Line Item Message Table","Member Contrived Key","int"
"dbo","cmc_cdim_l_its_msg","cdim_mapping_ind","ITS Line Item Message Table","Claim Mapping","char"
"dbo","cmc_cdim_l_its_msg","cdim_amt","ITS Line Item Message Table","Amount","money"
"dbo","cmc_cdim_l_its_msg","cdim_pct","ITS Line Item Message Table","ITS Special Pricing Percentage","money"
"dbo","cmc_cdim_l_its_msg","cdim_value","ITS Line Item Message Table","Value","varchar"
"dbo","cmc_cdim_l_its_msg","cdim_addl_data","ITS Line Item Message Table","Additional Data","varchar"
"dbo","cmc_cdim_l_its_msg","cdim_lock_token","ITS Line Item Message Table","Lock Token","smallint"
