"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdnp_nwx_prcng","clcl_id","NetworX Claim Line Level Pricing table","Claim Identifier","char"
"dbo","cmc_cdnp_nwx_prcng","cdnp_line_seq_no","NetworX Claim Line Level Pricing table","Line Item Sequence Number","smallint"
"dbo","cmc_cdnp_nwx_prcng","cdnp_seq_no","NetworX Claim Line Level Pricing table","NetworX Line Level Sequence Number","smallint"
"dbo","cmc_cdnp_nwx_prcng","meme_ck","NetworX Claim Line Level Pricing table","Member Contrived Key","int"
"dbo","cmc_cdnp_nwx_prcng","cdnp_section","NetworX Claim Line Level Pricing table","NetworX Pricing Section","smallint"
"dbo","cmc_cdnp_nwx_prcng","cdnp_rule","NetworX Claim Line Level Pricing table","NetworX Pricing Rule","varchar"
"dbo","cmc_cdnp_nwx_prcng","nrst_rs_term_id","NetworX Claim Line Level Pricing table","Rate Sheet Term ID","int"
"dbo","cmc_cdnp_nwx_prcng","cdnp_action","NetworX Claim Line Level Pricing table","NetworX Action Applied","char"
"dbo","cmc_cdnp_nwx_prcng","cdnp_qualifier","NetworX Claim Line Level Pricing table","NetworX Qualifier Amount","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_qualifier_tp","NetworX Claim Line Level Pricing table","NetworX Qualifier Type","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_qualifier_pct","NetworX Claim Line Level Pricing table","NetworX Qualifier Percentage","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_comparison","NetworX Claim Line Level Pricing table","NetworX Comparison","char"
"dbo","cmc_cdnp_nwx_prcng","cdnp_threshold","NetworX Claim Line Level Pricing table","NetworX Threshold Amount","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_threshold_tp","NetworX Claim Line Level Pricing table","NetworX Threshold Type","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_threshold_pct","NetworX Claim Line Level Pricing table","NetworX Threshold Percentage","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_volume","NetworX Claim Line Level Pricing table","NetworX Volume Amount","numeric"
"dbo","cmc_cdnp_nwx_prcng","cdnp_volume_tp","NetworX Claim Line Level Pricing table","NetworX Volume Type","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_rate","NetworX Claim Line Level Pricing table","NetworX Rate Amount","numeric"
"dbo","cmc_cdnp_nwx_prcng","cdnp_rate_tp","NetworX Claim Line Level Pricing table","NetworX Rate Type","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_price","NetworX Claim Line Level Pricing table","NetworX Price","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_based_on","NetworX Claim Line Level Pricing table","NetworX Pricing Source","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_period_used","NetworX Claim Line Level Pricing table","Year Data Used","smallint"
"dbo","cmc_cdnp_nwx_prcng","cdnp_usage","NetworX Claim Line Level Pricing table","NetworX Usage","char"
"dbo","cmc_cdnp_nwx_prcng","cdnp_idcd_ind_proc","NetworX Claim Line Level Pricing table","NetworX Pricing ICD Version","char"
"dbo","cmc_cdnp_nwx_prcng","cdnp_idcd_ind_ext","NetworX Claim Line Level Pricing table","NetworXPricer External Pricing ICD Version","char"
"dbo","cmc_cdnp_nwx_prcng","cdnp_prov_allow","NetworX Claim Line Level Pricing table","Provider Allow Amount","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_pricing_basis","NetworX Claim Line Level Pricing table","Pricing Basis","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_value","NetworX Claim Line Level Pricing table","Value","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_type","NetworX Claim Line Level Pricing table","Pricing Type","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_schedule_cd","NetworX Claim Line Level Pricing table","Schedule","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_chg_bck_sched","NetworX Claim Line Level Pricing table","Charge Back Schedule","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_lab_fee","NetworX Claim Line Level Pricing table","Lab Fees","money"
"dbo","cmc_cdnp_nwx_prcng","cdnp_lab_basis","NetworX Claim Line Level Pricing table","Lab Basis","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_lab_sched","NetworX Claim Line Level Pricing table","Lab Schedule","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_lock_token","NetworX Claim Line Level Pricing table","Lock Token","smallint"
"dbo","cmc_cdnp_nwx_prcng","atxr_source_id","NetworX Claim Line Level Pricing table","Attachment Source Id","datetime"
"dbo","cmc_cdnp_nwx_prcng","sys_last_upd_dtm","NetworX Claim Line Level Pricing table","Last Update Datetime","datetime"
"dbo","cmc_cdnp_nwx_prcng","sys_usus_id","NetworX Claim Line Level Pricing table","Last Update User ID","varchar"
"dbo","cmc_cdnp_nwx_prcng","sys_dbuser_id","NetworX Claim Line Level Pricing table","Last Update DBMS User ID","varchar"
"dbo","cmc_cdnp_nwx_prcng","cdnp_chg_back_amt_nvl","NetworX Claim Line Level Pricing table","Charge Back Amount","money"
