"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdvo_li_ovr","clcl_id","Vision Line Override Table","Claim Identifier","char"
"dbo","cmc_cdvo_li_ovr","cdvl_seq_no","Vision Line Override Table","Line-Item Sequence Number","smallint"
"dbo","cmc_cdvo_li_ovr","cdvo_or_id","Vision Line Override Table","Line-Item Override Indicator","char"
"dbo","cmc_cdvo_li_ovr","meme_ck","Vision Line Override Table","Member Contrived Key","int"
"dbo","cmc_cdvo_li_ovr","cdvo_or_amt","Vision Line Override Table","Line-Item Override Amount","money"
"dbo","cmc_cdvo_li_ovr","cdvo_or_value","Vision Line Override Table","Line-Item Override Value","varchar"
"dbo","cmc_cdvo_li_ovr","cdvo_or_dt","Vision Line Override Table","Line-Item Override Date","datetime"
"dbo","cmc_cdvo_li_ovr","cdvo_or_num","Vision Line Override Table","Override Number","int"
"dbo","cmc_cdvo_li_ovr","excd_id","Vision Line Override Table","Explanation Identifier","char"
"dbo","cmc_cdvo_li_ovr","cdvo_or_usid","Vision Line Override Table","Override User Identifier","char"
"dbo","cmc_cdvo_li_ovr","cdvo_auto_gen","Vision Line Override Table","Auto Generated Override Indicator","char"
"dbo","cmc_cdvo_li_ovr","cdvo_lock_token","Vision Line Override Table","Lock Token","smallint"
"dbo","cmc_cdvo_li_ovr","sys_last_upd_dtm","Vision Line Override Table","Last Update Datetime","datetime"
"dbo","cmc_cdvo_li_ovr","sys_usus_id","Vision Line Override Table","Last Update User ID","varchar"
"dbo","cmc_cdvo_li_ovr","sys_dbuser_id","Vision Line Override Table","Last Update DBMS User ID","varchar"
