"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_chch_channel","chch_id","Channeling Indicative Information","Channel ID","char"
"dbo","cmc_chch_channel","chch_orig","Channeling Indicative Information","Source Application","char"
"dbo","cmc_chch_channel","chch_entity","Channeling Indicative Information","Channeling Provider Entity","char"
"dbo","cmc_chch_channel","meme_ck","Channeling Indicative Information","Member Contrived Key","int"
"dbo","cmc_chch_channel","sbsb_ck","Channeling Indicative Information","Subscriber Contrived Key","int"
"dbo","cmc_chch_channel","grgr_ck","Channeling Indicative Information","Group Contrived Key","int"
"dbo","cmc_chch_channel","sgsg_ck","Channeling Indicative Information","Subgroup Contrived Key","int"
"dbo","cmc_chch_channel","prpr_id","Channeling Indicative Information","Customer Provider ID","char"
"dbo","cmc_chch_channel","cspd_cat","Channeling Indicative Information","Member's Product Category","char"
"dbo","cmc_chch_channel","chch_nwnw_rel","Channeling Indicative Information","Network Criteria","char"
"dbo","cmc_chch_channel","chch_zip","Channeling Indicative Information","Zip Code Criteria","char"
"dbo","cmc_chch_channel","chch_city","Channeling Indicative Information","City Criteria","char"
"dbo","cmc_chch_channel","chch_state","Channeling Indicative Information","State Criteria","char"
"dbo","cmc_chch_channel","chch_county","Channeling Indicative Information","County Criteria","char"
"dbo","cmc_chch_channel","chch_spec","Channeling Indicative Information","Speciality Criteria","char"
"dbo","cmc_chch_channel","chch_prpr_type","Channeling Indicative Information","Provider Type Criteria","char"
"dbo","cmc_chch_channel","chch_lang","Channeling Indicative Information","Language criteria","char"
"dbo","cmc_chch_channel","chch_gender","Channeling Indicative Information","Gender Criteria","char"
"dbo","cmc_chch_channel","chch_specific_ind","Channeling Indicative Information","Channel to Specific Provider","char"
"dbo","cmc_chch_channel","chch_hd_ind","Channeling Indicative Information","Handicap Criteria","char"
"dbo","cmc_chch_channel","chch_tier","Channeling Indicative Information","Tier Criteria","smallint"
"dbo","cmc_chch_channel","chch_svcs_prim","Channeling Indicative Information","Service Prim. Criteria","char"
"dbo","cmc_chch_channel","chch_svcs_sec","Channeling Indicative Information","Services Sec. Criteria","char"
"dbo","cmc_chch_channel","chch_prfb_type","Channeling Indicative Information","Beds Criteria","char"
"dbo","cmc_chch_channel","chch_results","Channeling Indicative Information","Results Count","smallint"
"dbo","cmc_chch_channel","chch_secs","Channeling Indicative Information","Channel Secs","int"
"dbo","cmc_chch_channel","chch_eff_dt","Channeling Indicative Information","Effective Date","datetime"
"dbo","cmc_chch_channel","chch_chan_dt","Channeling Indicative Information","Channel Date","datetime"
"dbo","cmc_chch_channel","usus_id","Channeling Indicative Information","User Identifier","char"
"dbo","cmc_chch_channel","chch_cust_type","Channeling Indicative Information","Channeling Customer Type","char"
"dbo","cmc_chch_channel","chch_fac_id","Channeling Indicative Information","Facility ID","char"
"dbo","cmc_chch_channel","chch_miles","Channeling Indicative Information","Radial Search Miles Parameter","smallint"
"dbo","cmc_chch_channel","chch_address1","Channeling Indicative Information","Customer Address Line 1","char"
"dbo","cmc_chch_channel","chch_lock_token","Channeling Indicative Information","Lock Token","smallint"
"dbo","cmc_chch_channel","atxr_source_id","Channeling Indicative Information","Attachment Source Id","datetime"
