"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cleb_eob_amts","clcl_id","EOB Amounts and Accumulator Data","Claim Identifier","char"
"dbo","cmc_cleb_eob_amts","ebcl_type","EOB Amounts and Accumulator Data","EOB Amount Type","char"
"dbo","cmc_cleb_eob_amts","ebcl_year_ind","EOB Amounts and Accumulator Data","EOB Amount Year Indicator","char"
"dbo","cmc_cleb_eob_amts","acac_acc_no","EOB Amounts and Accumulator Data","EOB Amount Accumulator Number","smallint"
"dbo","cmc_cleb_eob_amts","ebcl_pfx_max","EOB Amounts and Accumulator Data","EOB Product Component Prefix Maximum","char"
"dbo","cmc_cleb_eob_amts","meme_ck","EOB Amounts and Accumulator Data","Member Contrived Key","int"
"dbo","cmc_cleb_eob_amts","cleb_cur_year","EOB Amounts and Accumulator Data","EOB Amount Current Claim Year","datetime"
"dbo","cmc_cleb_eob_amts","cleb_matx_amt1","EOB Amounts and Accumulator Data","Member Accumulator Amount 1","money"
"dbo","cmc_cleb_eob_amts","cleb_meac_amt1","EOB Amounts and Accumulator Data","","money"
"dbo","cmc_cleb_eob_amts","cleb_matx_amt2","EOB Amounts and Accumulator Data","Member Accumulator Amount 2","money"
"dbo","cmc_cleb_eob_amts","cleb_meac_amt2","EOB Amounts and Accumulator Data","","money"
"dbo","cmc_cleb_eob_amts","cleb_faac_amt1","EOB Amounts and Accumulator Data","","money"
"dbo","cmc_cleb_eob_amts","cleb_fatx_amt1","EOB Amounts and Accumulator Data","Family Accumulator Amount 1","money"
"dbo","cmc_cleb_eob_amts","cleb_faac_amt2","EOB Amounts and Accumulator Data","","money"
"dbo","cmc_cleb_eob_amts","cleb_fatx_amt2","EOB Amounts and Accumulator Data","Family Accumulator Amount 2","money"
"dbo","cmc_cleb_eob_amts","cleb_faac_ctr1","EOB Amounts and Accumulator Data","","smallint"
"dbo","cmc_cleb_eob_amts","cleb_fatx_ctr1","EOB Amounts and Accumulator Data","Family Accumulator Counter 1","numeric"
"dbo","cmc_cleb_eob_amts","cleb_lock_token","EOB Amounts and Accumulator Data","Lock Token","smallint"
"dbo","cmc_cleb_eob_amts","cleb_fatx_ctr2_nvl","EOB Amounts and Accumulator Data","Family Accumulator Counter 2","numeric"
"dbo","cmc_cleb_eob_amts","cleb_matx_ctr1_nvl","EOB Amounts and Accumulator Data","Member Accumulator Counter 1","numeric"
"dbo","cmc_cleb_eob_amts","cleb_matx_ctr2_nvl","EOB Amounts and Accumulator Data","Member Accumulator Counter 2","numeric"
"dbo","cmc_cleb_eob_amts","cleb_fatx_persons_nvl","EOB Amounts and Accumulator Data","Family Accumulator Number of Persons","smallint"
