"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clfm_work_fsa","clfm_row_id","Work Table for Step 5500/6000","Row ID","numeric"
"dbo","cmc_clfm_work_fsa","clcl_id","Work Table for Step 5500/6000","Claim Identifier","char"
"dbo","cmc_clfm_work_fsa","meme_ck","Work Table for Step 5500/6000","Member Contrived Key","int"
"dbo","cmc_clfm_work_fsa","grgr_ck","Work Table for Step 5500/6000","Group Contrived Key","int"
"dbo","cmc_clfm_work_fsa","sbsb_ck","Work Table for Step 5500/6000","Subscriber Contrived Key","int"
"dbo","cmc_clfm_work_fsa","clcl_cl_type","Work Table for Step 5500/6000","Claim Type","char"
"dbo","cmc_clfm_work_fsa","clcl_cl_sub_type","Work Table for Step 5500/6000","Claim Sub Type","char"
"dbo","cmc_clfm_work_fsa","clcl_cur_sts","Work Table for Step 5500/6000","Current Status of claim","char"
"dbo","cmc_clfm_work_fsa","lobd_id","Work Table for Step 5500/6000","Line of Business ID","char"
"dbo","cmc_clfm_work_fsa","clcl_pay_pr_ind","Work Table for Step 5500/6000","Pay Provider Indicator","char"
"dbo","cmc_clfm_work_fsa","clfm_lock_token","Work Table for Step 5500/6000","Lock Token","smallint"
"dbo","cmc_clfm_work_fsa","atxr_source_id","Work Table for Step 5500/6000","Attachment Source Id","datetime"
