"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clfs_fsa_claim","clcl_id","FSA Claim Level Table","Claim Identifier","char"
"dbo","cmc_clfs_fsa_claim","meme_ck","FSA Claim Level Table","Member Contrived Key","int"
"dbo","cmc_clfs_fsa_claim","clfs_input_source","FSA Claim Level Table","Input Method","char"
"dbo","cmc_clfs_fsa_claim","lobd_id","FSA Claim Level Table","Line of Business ID","char"
"dbo","cmc_clfs_fsa_claim","clfs_pldg_ctrb_amt","FSA Claim Level Table","Contributed Amount","money"
"dbo","cmc_clfs_fsa_claim","clfs_paid_ytd","FSA Claim Level Table","Paid to Date","money"
"dbo","cmc_clfs_fsa_claim","clfs_paid_cur","FSA Claim Level Table","Current Period Paid to Date","money"
"dbo","cmc_clfs_fsa_claim","clfs_balance","FSA Claim Level Table","FSA  Account Balance","money"
"dbo","cmc_clfs_fsa_claim","fsai_pfx","FSA Claim Level Table","Prefix","char"
"dbo","cmc_clfs_fsa_claim","clfs_clcl_id_prev","FSA Claim Level Table","Previous Claim ID","varchar"
"dbo","cmc_clfs_fsa_claim","clfs_clcl_id_next","FSA Claim Level Table","Next Claim ID","varchar"
"dbo","cmc_clfs_fsa_claim","clfs_lock_token","FSA Claim Level Table","Lock Token","smallint"
"dbo","cmc_clfs_fsa_claim","atxr_source_id","FSA Claim Level Table","Attachment Source Id","datetime"
"dbo","cmc_clfs_fsa_claim","clfs_pro_amt_nvl","FSA Claim Level Table","FSA Partial Rollover Amount from Prior Year","money"
"dbo","cmc_clfs_fsa_claim","clfs_fy_pro_pd_nvl","FSA Claim Level Table","FSA Partial Rollover Amount used to pay future year claims","money"
