"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clim_its_msg","clcl_id","ITS Claim Message Table","Claim Identifier","char"
"dbo","cmc_clim_its_msg","clim_typ","ITS Claim Message Table","Type","char"
"dbo","cmc_clim_its_msg","clim_its_msg_cd","ITS Claim Message Table","Message Codes","char"
"dbo","cmc_clim_its_msg","meme_ck","ITS Claim Message Table","Member Contrived Key","int"
"dbo","cmc_clim_its_msg","clim_mapping_ind","ITS Claim Message Table","Claim Mapping","char"
"dbo","cmc_clim_its_msg","clim_amt","ITS Claim Message Table","Amount","money"
"dbo","cmc_clim_its_msg","clim_pct","ITS Claim Message Table","ITS Special Pricing Percentage","money"
"dbo","cmc_clim_its_msg","clim_days","ITS Claim Message Table","Special Pricing Days","smallint"
"dbo","cmc_clim_its_msg","clim_addl_data","ITS Claim Message Table","Additional Data","varchar"
"dbo","cmc_clim_its_msg","clim_lock_token","ITS Claim Message Table","Lock Token","smallint"
