"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clsm_med_supp","clcl_id","Medicare Supplemental Data Claim Level","Claim Identifier","char"
"dbo","cmc_clsm_med_supp","meme_ck","Medicare Supplemental Data Claim Level","Member Contrived Key","int"
"dbo","cmc_clsm_med_supp","clsm_oc_allow","Medicare Supplemental Data Claim Level","Medicare Allowed Amount","money"
"dbo","cmc_clsm_med_supp","clsm_oc_ded_amt","Medicare Supplemental Data Claim Level","Medicare Deductible","money"
"dbo","cmc_clsm_med_supp","clsm_oc_coins_amtm","Medicare Supplemental Data Claim Level","Medicare Medical Coinsurance","money"
"dbo","cmc_clsm_med_supp","clsm_oc_coins_amtp","Medicare Supplemental Data Claim Level","Medicare Psych Coinsurance","money"
"dbo","cmc_clsm_med_supp","clsm_oc_paid_amt","Medicare Supplemental Data Claim Level","Medicare Paid Amount","money"
"dbo","cmc_clsm_med_supp","clsm_oc_reas_cd","Medicare Supplemental Data Claim Level","Medicare Reason Code","varchar"
"dbo","cmc_clsm_med_supp","clsm_oc_group_cd","Medicare Supplemental Data Claim Level","Claim Adjustment Group Code","char"
"dbo","cmc_clsm_med_supp","clsm_lock_token","Medicare Supplemental Data Claim Level","Lock Token","smallint"
"dbo","cmc_clsm_med_supp","atxr_source_id","Medicare Supplemental Data Claim Level","Attachment Source Id","datetime"
"dbo","cmc_clsm_med_supp","clsm_sqest_amt_nvl","Medicare Supplemental Data Claim Level","Sequestration Amount","money"
"dbo","cmc_clsm_med_supp","clsm_oc_paid_dt_nvl","Medicare Supplemental Data Claim Level","Other Carrier EOB Date.","datetime"
