"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cmlg_log","cmcm_id","Caller Detail/Log Data","Case Management ID","char"
"dbo","cmc_cmlg_log","cmct_seq_no","Caller Detail/Log Data","Log Contact Sequence No.","smallint"
"dbo","cmc_cmlg_log","cmlg_seq_no","Caller Detail/Log Data","Log Sequence No.","smallint"
"dbo","cmc_cmlg_log","cmlg_usid","Caller Detail/Log Data","Log User ID","char"
"dbo","cmc_cmlg_log","cmlg_method","Caller Detail/Log Data","Log Method of Contact","char"
"dbo","cmc_cmlg_log","cmlg_input_dtm","Caller Detail/Log Data","Log Date","datetime"
"dbo","cmc_cmlg_log","cmlg_mctr_call","Caller Detail/Log Data","Log Contact Type","char"
"dbo","cmc_cmlg_log","cmlg_text","Caller Detail/Log Data","Log Summary","char"
"dbo","cmc_cmlg_log","cmlg_lock_token","Caller Detail/Log Data","Lock Token","smallint"
"dbo","cmc_cmlg_log","atxr_source_id","Caller Detail/Log Data","Attachment Source Id","datetime"
