"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_coae_adv_earn","coar_id","Commission Advance Earned Table","Commission Arrangement ID","char"
"dbo","cmc_coae_adv_earn","cocp_comm_per","Commission Advance Earned Table","Commission Period","smallint"
"dbo","cmc_coae_adv_earn","coce_id","Commission Advance Earned Table","Commission Entity ID","char"
"dbo","cmc_coae_adv_earn","lobd_id","Commission Advance Earned Table","Line of Business ID","char"
"dbo","cmc_coae_adv_earn","coae_seq_no","Commission Advance Earned Table","Sequence Number","int"
"dbo","cmc_coae_adv_earn","coae_paid_dt","Commission Advance Earned Table","Advance Paid Date","datetime"
"dbo","cmc_coae_adv_earn","coae_adv_amt_paid","Commission Advance Earned Table","Advance Amount Paid","money"
"dbo","cmc_coae_adv_earn","coae_adv_ovpymt_wo","Commission Advance Earned Table","Advance Overpayment Written Off","money"
"dbo","cmc_coae_adv_earn","coce_id_payee","Commission Advance Earned Table","Commission Entity ID Payee","char"
"dbo","cmc_coae_adv_earn","corq_ck","Commission Advance Earned Table","Commission Recalculation Request Contrived Key","int"
"dbo","cmc_coae_adv_earn","cobl_source_ck","Commission Advance Earned Table","COBL Source Contived Key","bigint"
"dbo","cmc_coae_adv_earn","coae_lock_token","Commission Advance Earned Table","Lock Token","smallint"
"dbo","cmc_coae_adv_earn","atxr_source_id","Commission Advance Earned Table","Attachment Source Id","datetime"
