"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_coca_comm_adj","coce_id","Manual Adjustment Data for Commissions","Commission Entity ID","char"
"dbo","cmc_coca_comm_adj","coca_seq_no","Manual Adjustment Data for Commissions","Sequence Number","int"
"dbo","cmc_coca_comm_adj","coca_paid_dt","Manual Adjustment Data for Commissions","Payment Date","datetime"
"dbo","cmc_coca_comm_adj","coca_pymt_type","Manual Adjustment Data for Commissions","Commission Adjustment Type","char"
"dbo","cmc_coca_comm_adj","coca_pymt_amt","Manual Adjustment Data for Commissions","Commission Adjustment Amount","money"
"dbo","cmc_coca_comm_adj","coca_sts","Manual Adjustment Data for Commissions","Status","char"
"dbo","cmc_coca_comm_adj","coca_mctr_rsn","Manual Adjustment Data for Commissions","Commission Adjustment Reason","char"
"dbo","cmc_coca_comm_adj","coca_pymt_desc","Manual Adjustment Data for Commissions","Commission Adjustment Description","char"
"dbo","cmc_coca_comm_adj","lobd_id","Manual Adjustment Data for Commissions","Line of Business ID","char"
"dbo","cmc_coca_comm_adj","coar_id","Manual Adjustment Data for Commissions","Arrangement ID","char"
"dbo","cmc_coca_comm_adj","coag_eff_dt","Manual Adjustment Data for Commissions","Agreement Effective Date","datetime"
"dbo","cmc_coca_comm_adj","cocp_comm_per","Manual Adjustment Data for Commissions","Commission Period","smallint"
"dbo","cmc_coca_comm_adj","grgr_id","Manual Adjustment Data for Commissions","Group ID","char"
"dbo","cmc_coca_comm_adj","sgsg_id","Manual Adjustment Data for Commissions","Subgroup ID","char"
"dbo","cmc_coca_comm_adj","sbsb_id","Manual Adjustment Data for Commissions","Subscriber ID","char"
"dbo","cmc_coca_comm_adj","bgbg_id","Manual Adjustment Data for Commissions","Billing Group ID","char"
"dbo","cmc_coca_comm_adj","afai_id","Manual Adjustment Data for Commissions","Alternate Funding ID","char"
"dbo","cmc_coca_comm_adj","blei_ck","Manual Adjustment Data for Commissions","Billing Entity Contrived Key","int"
"dbo","cmc_coca_comm_adj","coca_ref_due_dt","Manual Adjustment Data for Commissions","Reference Date","datetime"
"dbo","cmc_coca_comm_adj","coca_update_dtm","Manual Adjustment Data for Commissions","Update Date time","datetime"
"dbo","cmc_coca_comm_adj","usus_id","Manual Adjustment Data for Commissions","User Identifier","char"
"dbo","cmc_coca_comm_adj","coce_id_payee","Manual Adjustment Data for Commissions","Commission Entity Payee ID","char"
"dbo","cmc_coca_comm_adj","corq_ck","Manual Adjustment Data for Commissions","Commission recalculation request contrived key","int"
"dbo","cmc_coca_comm_adj","cobl_ck","Manual Adjustment Data for Commissions","Commission Billing Relation Contrived Key","int"
"dbo","cmc_coca_comm_adj","coca_lock_token","Manual Adjustment Data for Commissions","Lock Token","smallint"
"dbo","cmc_coca_comm_adj","atxr_source_id","Manual Adjustment Data for Commissions","Attachment Source Id","datetime"
"dbo","cmc_coca_comm_adj","sys_last_upd_dtm","Manual Adjustment Data for Commissions","Last Update Datetime","datetime"
"dbo","cmc_coca_comm_adj","sys_usus_id","Manual Adjustment Data for Commissions","Last Update User ID","varchar"
"dbo","cmc_coca_comm_adj","sys_dbuser_id","Manual Adjustment Data for Commissions","Last Update DBMS User ID","varchar"
"dbo","cmc_coca_comm_adj","blbp_bill_per","Manual Adjustment Data for Commissions","Individual Billing Period","smallint"
