"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crar_archive","grgr_ck","Capitation Archive Table","Group Contrived Key","int"
"dbo","cmc_crar_archive","meme_ck","Capitation Archive Table","Member Contrived Key","int"
"dbo","cmc_crar_archive","cspd_cat","Capitation Archive Table","Product Category","char"
"dbo","cmc_crar_archive","crme_earn_from_dt","Capitation Archive Table","Capitation Earn From Date","datetime"
"dbo","cmc_crar_archive","crme_seq_no","Capitation Archive Table","Sequence Number","smallint"
"dbo","cmc_crar_archive","crbd_bat_id","Capitation Archive Table","Batch ID","char"
"dbo","cmc_crar_archive","crar_create_dt","Capitation Archive Table","Create Date","datetime"
"dbo","cmc_crar_archive","crar_status","Capitation Archive Table","Status","char"
"dbo","cmc_crar_archive","crar_lock_token","Capitation Archive Table","Lock Token","smallint"
"dbo","cmc_crar_archive","atxr_source_id","Capitation Archive Table","Attachment Source Id","datetime"
