"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crcf_cap_fctr","crcf_id","Capitation Program Factor Administration Rules","Factor ID","varchar"
"dbo","cmc_crcf_cap_fctr","crcf_desc","Capitation Program Factor Administration Rules","Factor Description","varchar"
"dbo","cmc_crcf_cap_fctr","crcf_source_ind","Capitation Program Factor Administration Rules","Qualifier Source","char"
"dbo","cmc_crcf_cap_fctr","crfa_mctr_styp","Capitation Program Factor Administration Rules","Factor Source Type","char"
"dbo","cmc_crcf_cap_fctr","crfa_attr_id","Capitation Program Factor Administration Rules","Attribute Source","varchar"
"dbo","cmc_crcf_cap_fctr","crcf_calc_type","Capitation Program Factor Administration Rules","Calculation Type Code","char"
"dbo","cmc_crcf_cap_fctr","crcf_calc_rule","Capitation Program Factor Administration Rules","Calculation Rule Code","char"
"dbo","cmc_crcf_cap_fctr","crcf_lst_usus_id","Capitation Program Factor Administration Rules","Last User ID","varchar"
"dbo","cmc_crcf_cap_fctr","crcf_lst_upd_dtm","Capitation Program Factor Administration Rules","Last updated date and time","datetime"
"dbo","cmc_crcf_cap_fctr","crcf_lock_token","Capitation Program Factor Administration Rules","Lock Token","smallint"
"dbo","cmc_crcf_cap_fctr","atxr_source_id","Capitation Program Factor Administration Rules","Attachment Source Id","datetime"
"dbo","cmc_crcf_cap_fctr","sys_last_upd_dtm","Capitation Program Factor Administration Rules","Last Update Datetime","datetime"
"dbo","cmc_crcf_cap_fctr","sys_usus_id","Capitation Program Factor Administration Rules","Last Update User ID","varchar"
"dbo","cmc_crcf_cap_fctr","sys_dbuser_id","Capitation Program Factor Administration Rules","Last Update DBMS User ID","varchar"
