"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crfd_fund_defn","crfd_fund_id","Fund Definition","Fund ID","char"
"dbo","cmc_crfd_fund_defn","crfd_desc","Fund Definition","Description","char"
"dbo","cmc_crfd_fund_defn","crfd_fund_rate_ind","Fund Definition","Rate Type","char"
"dbo","cmc_crfd_fund_defn","crfd_prorate_rule","Fund Definition","Prorate Rule","char"
"dbo","cmc_crfd_fund_defn","crfd_pymt_meth_ind","Fund Definition","Payment Method Indicator","char"
"dbo","cmc_crfd_fund_defn","crfd_opts","Fund Definition","Fund Definition Options","char"
"dbo","cmc_crfd_fund_defn","crfd_acct_cat","Fund Definition","Accounting Category","char"
"dbo","cmc_crfd_fund_defn","crfd_key_mod_ind","Fund Definition","Group Modifier Indicator","char"
"dbo","cmc_crfd_fund_defn","crfd_min_amt","Fund Definition","Fund Minimum Amount","money"
"dbo","cmc_crfd_fund_defn","crfd_max_amt","Fund Definition","Fund Maximum Amount","money"
"dbo","cmc_crfd_fund_defn","crfd_lock_token","Fund Definition","Lock Token","smallint"
"dbo","cmc_crfd_fund_defn","atxr_source_id","Fund Definition","Attachment Source Id","datetime"
