"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crfs_schd_desc","crfs_schd_id","Text Description of Schedule_ID","Capitation Schedule ID","char"
"dbo","cmc_crfs_schd_desc","crfs_desc","Text Description of Schedule_ID","Capitation Schedule Description","varchar"
"dbo","cmc_crfs_schd_desc","crmm_min_max_id","Text Description of Schedule_ID","Min/Max Rule ID","char"
"dbo","cmc_crfs_schd_desc","crfs_crmm_prcs_ind","Text Description of Schedule_ID","Min/Maxrule process Indictor","char"
"dbo","cmc_crfs_schd_desc","crfs_lock_token","Text Description of Schedule_ID","Lock Token","smallint"
"dbo","cmc_crfs_schd_desc","atxr_source_id","Text Description of Schedule_ID","Attachment Source Id","datetime"
"dbo","cmc_crfs_schd_desc","sys_last_upd_dtm","Text Description of Schedule_ID","Last Update Datetime","datetime"
"dbo","cmc_crfs_schd_desc","sys_usus_id","Text Description of Schedule_ID","Last Update User ID","varchar"
"dbo","cmc_crfs_schd_desc","sys_dbuser_id","Text Description of Schedule_ID","Last Update DBMS User ID","varchar"
"dbo","cmc_crfs_schd_desc","crfs_schd_type_nvl","Text Description of Schedule_ID","Capitation Schedule type","char"
