"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crme_fund_detl","meme_ck","Primary Capitation Detail Table","Member Contrived Key","int"
"dbo","cmc_crme_fund_detl","cspd_cat","Primary Capitation Detail Table","Product Category","char"
"dbo","cmc_crme_fund_detl","crme_earn_from_dt","Primary Capitation Detail Table","Earn From Date","datetime"
"dbo","cmc_crme_fund_detl","crme_seq_no","Primary Capitation Detail Table","Sequence Number","smallint"
"dbo","cmc_crme_fund_detl","crbd_bat_id","Primary Capitation Detail Table","Batch ID","char"
"dbo","cmc_crme_fund_detl","grgr_ck","Primary Capitation Detail Table","Group Contrived Key","int"
"dbo","cmc_crme_fund_detl","sgsg_ck","Primary Capitation Detail Table","Subgroup Contrived Key","int"
"dbo","cmc_crme_fund_detl","crme_cr_pr_id","Primary Capitation Detail Table","Provider ID","char"
"dbo","cmc_crme_fund_detl","crpl_pool_id","Primary Capitation Detail Table","Pool ID","char"
"dbo","cmc_crme_fund_detl","crfd_fund_id","Primary Capitation Detail Table","Fund ID","char"
"dbo","cmc_crme_fund_detl","crme_earn_thru_dt","Primary Capitation Detail Table","Earned Through Date","datetime"
"dbo","cmc_crme_fund_detl","crme_pay_from_dt","Primary Capitation Detail Table","Paid From Date","datetime"
"dbo","cmc_crme_fund_detl","crme_pay_thru_dt","Primary Capitation Detail Table","Paid Through Date","datetime"
"dbo","cmc_crme_fund_detl","lobd_id","Primary Capitation Detail Table","Line of Business Code","char"
"dbo","cmc_crme_fund_detl","crme_payee_pr_id","Primary Capitation Detail Table","Payee Provider ID","char"
"dbo","cmc_crme_fund_detl","crme_cr_pr_type","Primary Capitation Detail Table","Capitation Type","char"
"dbo","cmc_crme_fund_detl","crme_pymt_meth_ind","Primary Capitation Detail Table","Payment Method Indicator","char"
"dbo","cmc_crme_fund_detl","crme_cov_from_dt","Primary Capitation Detail Table","Coverage From Date","datetime"
"dbo","cmc_crme_fund_detl","crme_cov_thru_dt","Primary Capitation Detail Table","Coverage Through Date","datetime"
"dbo","cmc_crme_fund_detl","crme_cov_per_rsn","Primary Capitation Detail Table","Coverage Period Reason","char"
"dbo","cmc_crme_fund_detl","crme_adj_per","Primary Capitation Detail Table","Adjustment Period","smallint"
"dbo","cmc_crme_fund_detl","crfs_schd_id","Primary Capitation Detail Table","Capitation Schedule ID","char"
"dbo","cmc_crme_fund_detl","crft_fctr","Primary Capitation Detail Table","Rating Factor","int"
"dbo","cmc_crme_fund_detl","prpr_id","Primary Capitation Detail Table","Provider ID","char"
"dbo","cmc_crme_fund_detl","nwnw_id","Primary Capitation Detail Table","Network ID","char"
"dbo","cmc_crme_fund_detl","cspi_id","Primary Capitation Detail Table","Class Plan Identifier","char"
"dbo","cmc_crme_fund_detl","pdpd_id","Primary Capitation Detail Table","Product Identifier","char"
"dbo","cmc_crme_fund_detl","crme_nwpe_nwcr_pfx","Primary Capitation Detail Table","NWPE or NWCR Prefix","char"
"dbo","cmc_crme_fund_detl","crme_crcy_prpr_id","Primary Capitation Detail Table","Cycle Provider ID","char"
"dbo","cmc_crme_fund_detl","pdds_mctr_bcat","Primary Capitation Detail Table","Product Business Category","char"
"dbo","cmc_crme_fund_detl","crme_prorate_rule","Primary Capitation Detail Table","Prorate Rule","char"
"dbo","cmc_crme_fund_detl","crme_fund_rate_ind","Primary Capitation Detail Table","Rate Type Indicator","char"
"dbo","cmc_crme_fund_detl","crme_fund_rate","Primary Capitation Detail Table","Rate","money"
"dbo","cmc_crme_fund_detl","crme_fund_amt","Primary Capitation Detail Table","Calculated Fund Amount","money"
"dbo","cmc_crme_fund_detl","crme_fund_pct","Primary Capitation Detail Table","Fund Rate","int"
"dbo","cmc_crme_fund_detl","crme_cell_rate","Primary Capitation Detail Table","Fund Rate","money"
"dbo","cmc_crme_fund_detl","crme_me_months","Primary Capitation Detail Table","Member Months","money"
"dbo","cmc_crme_fund_detl","crme_opts","Primary Capitation Detail Table","Capitation Options","char"
"dbo","cmc_crme_fund_detl","crme_lock_token","Primary Capitation Detail Table","Lock Token","smallint"
"dbo","cmc_crme_fund_detl","pgpi_id","Primary Capitation Detail Table","Patient Care Program ID","varchar"
"dbo","cmc_crme_fund_detl","pgps_pr_pfx","Primary Capitation Detail Table","Patient Care Program Set Prefix","varchar"
"dbo","cmc_crme_fund_detl","pgpi_mctr_ptyp","Primary Capitation Detail Table","Patient Care Program Type","char"
"dbo","cmc_crme_fund_detl","crsf_crcf_fct1_nvl","Primary Capitation Detail Table","Factor 1 Factor ID","varchar"
"dbo","cmc_crme_fund_detl","crme_crav_value1_nvl","Primary Capitation Detail Table","Factor 1 attribute value","varchar"
"dbo","cmc_crme_fund_detl","crme_crfv_amt1_nvl","Primary Capitation Detail Table","Factor 1 amount","money"
"dbo","cmc_crme_fund_detl","crme_crfv_pct1_nvl","Primary Capitation Detail Table","Factor 1 percentage","int"
"dbo","cmc_crme_fund_detl","crsf_crcf_fct2_nvl","Primary Capitation Detail Table","Factor 2 Factor ID","varchar"
"dbo","cmc_crme_fund_detl","crme_crav_value2_nvl","Primary Capitation Detail Table","Factor 2 attribute value","varchar"
"dbo","cmc_crme_fund_detl","crme_crfv_amt2_nvl","Primary Capitation Detail Table","Factor 2 amount","money"
"dbo","cmc_crme_fund_detl","crme_crfv_pct2_nvl","Primary Capitation Detail Table","Factor 2 percentage","int"
"dbo","cmc_crme_fund_detl","crsf_crcf_fct3_nvl","Primary Capitation Detail Table","Factor r Factor ID","varchar"
"dbo","cmc_crme_fund_detl","crme_crav_value3_nvl","Primary Capitation Detail Table","Factor 3 Attribute Value","varchar"
"dbo","cmc_crme_fund_detl","crme_crfv_amt3_nvl","Primary Capitation Detail Table","Factor 3 Amount","money"
"dbo","cmc_crme_fund_detl","crme_crfv_pct3_nvl","Primary Capitation Detail Table","Factor 3 percentage","int"
"dbo","cmc_crme_fund_detl","crsf_crcf_fct4_nvl","Primary Capitation Detail Table","Factor 4 Factor ID","varchar"
"dbo","cmc_crme_fund_detl","crme_crav_value4_nvl","Primary Capitation Detail Table","Factor 4 attribute value","varchar"
"dbo","cmc_crme_fund_detl","crme_crfv_amt4_nvl","Primary Capitation Detail Table","Factor 4 amount","money"
"dbo","cmc_crme_fund_detl","crme_crfv_pct4_nvl","Primary Capitation Detail Table","Factor 4 percentage","int"
"dbo","cmc_crme_fund_detl","pdfc_mctr_cfcd","Primary Capitation Detail Table","Capitation Product Factor Code","char"
"dbo","cmc_crme_fund_detl","pdfc_cap_pct","Primary Capitation Detail Table","Product Factor Percentage","int"
"dbo","cmc_crme_fund_detl","crsd_id","Primary Capitation Detail Table","Supp. Rate ID","char"
"dbo","cmc_crme_fund_detl","crft_mctr_lsty","Primary Capitation Detail Table","LifeStyle Code","char"
"dbo","cmc_crme_fund_detl","crfr_modifier","Primary Capitation Detail Table","Capitation Modifier","varchar"
"dbo","cmc_crme_fund_detl","crsr_modifier","Primary Capitation Detail Table","Supplemental Rate Modifier","varchar"
"dbo","cmc_crme_fund_detl","crme_resolve_dt_nvl","Primary Capitation Detail Table","Resolve Indicator","datetime"
"dbo","cmc_crme_fund_detl","crft_id","Primary Capitation Detail Table","Life Factor ID","char"
