"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crpp_pct_prem","crpp_cr_earn_dt","Average Member Premium","Earn Date","datetime"
"dbo","cmc_crpp_pct_prem","crpp_sk","Average Member Premium","String Key","char"
"dbo","cmc_crpp_pct_prem","crpp_current_prem","Average Member Premium","Current Premium","money"
"dbo","cmc_crpp_pct_prem","crpp_current_lvs","Average Member Premium","Current Lives","int"
"dbo","cmc_crpp_pct_prem","crpp_retro_prem","Average Member Premium","Retro Premium","money"
"dbo","cmc_crpp_pct_prem","crpp_retro_mem_mos","Average Member Premium","Retro Member Months","int"
"dbo","cmc_crpp_pct_prem","crpp_ovrd_amp_amt","Average Member Premium","Premium Override Amount","money"
"dbo","cmc_crpp_pct_prem","crpp_locked_ind","Average Member Premium","Lock Indicator","char"
"dbo","cmc_crpp_pct_prem","crpp_locked_dtm","Average Member Premium","Lock Indicator Create Date and Time","datetime"
"dbo","cmc_crpp_pct_prem","crpp_create_dtm","Average Member Premium","Create Date and Time","datetime"
"dbo","cmc_crpp_pct_prem","crpp_lock_token","Average Member Premium","Lock Token","smallint"
"dbo","cmc_crpp_pct_prem","atxr_source_id","Average Member Premium","Attachment Source Id","datetime"
