"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crv0_temp_crmn","crmn_pay_dt","Temp Storage table","","datetime"
"dbo","cmc_crv0_temp_crmn","crbd_bat_id","Temp Storage table","Batch ID","char"
"dbo","cmc_crv0_temp_crmn","grgr_ck","Temp Storage table","Group Address Line 1","int"
"dbo","cmc_crv0_temp_crmn","cscs_id","Temp Storage table","Class Identifier","char"
"dbo","cmc_crv0_temp_crmn","cspd_cat","Temp Storage table","Product Category","char"
"dbo","cmc_crv0_temp_crmn","cspi_id","Temp Storage table","Class Plan Identifier","char"
"dbo","cmc_crv0_temp_crmn","nwxr_cap_type","Temp Storage table","Capitation Type","char"
"dbo","cmc_crv0_temp_crmn","pdpd_id","Temp Storage table","Product Identifier","char"
"dbo","cmc_crv0_temp_crmn","crmn_cov_from_dt","Temp Storage table","","datetime"
"dbo","cmc_crv0_temp_crmn","crmn_cov_thru_dt","Temp Storage table","","datetime"
"dbo","cmc_crv0_temp_crmn","pdpd_eff_dt","Temp Storage table","Product Effective Date","datetime"
"dbo","cmc_crv0_temp_crmn","pdpd_term_dt","Temp Storage table","Termination Date","datetime"
"dbo","cmc_crv0_temp_crmn","lobd_id","Temp Storage table","Line Of Business ID","char"
"dbo","cmc_crv0_temp_crmn","pdpd_cap_pop_lvl","Temp Storage table","Capitation Percent of Premium Level","char"
"dbo","cmc_crv0_temp_crmn","pdpd_mctr_ccat","Temp Storage table","Capitation Category","char"
"dbo","cmc_crv0_temp_crmn","cspi_eff_dt","Temp Storage table","Class/Plan Effective Date","datetime"
"dbo","cmc_crv0_temp_crmn","cspi_term_dt","Temp Storage table","Class/Plan Termination Date","datetime"
"dbo","cmc_crv0_temp_crmn","nwst_pfx","Temp Storage table","Network Set Prefix","char"
"dbo","cmc_crv0_temp_crmn","nwst_eff_dt","Temp Storage table","Network Set Effective Date","datetime"
"dbo","cmc_crv0_temp_crmn","nwst_seq_no","Temp Storage table","Network Set Sequence Number","smallint"
"dbo","cmc_crv0_temp_crmn","nwst_term_dt","Temp Storage table","Network Set Termination Date","datetime"
"dbo","cmc_crv0_temp_crmn","nwnw_id","Temp Storage table","Provider Network Identifier","char"
"dbo","cmc_crv0_temp_crmn","nwpe_pfx","Temp Storage table","Network Provider Entity Relationship Prefix","char"
"dbo","cmc_crv0_temp_crmn","nwcr_pfx","Temp Storage table","Provider Network Capitation Relationship Prefix","char"
"dbo","cmc_crv0_temp_crmn","nwst_nwcr_ind","Temp Storage table","Network Capitation Indicator","char"
"dbo","cmc_crv0_temp_crmn","nwpe_nwcr_pfx","Temp Storage table","","char"
