"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crv1_extr_rates","crv1_cov_from_dt","Capitation Rate Extract table","Coverage From Date","datetime"
"dbo","cmc_crv1_extr_rates","crv1_cov_thru_dt","Capitation Rate Extract table","Coverage Thru Date","datetime"
"dbo","cmc_crv1_extr_rates","crv1_age_from","Capitation Rate Extract table","Age From","smallint"
"dbo","cmc_crv1_extr_rates","crv1_age_thru","Capitation Rate Extract table","Age Thru","smallint"
"dbo","cmc_crv1_extr_rates","crfs_schd_id","Capitation Rate Extract table","Schedule ID","char"
"dbo","cmc_crv1_extr_rates","crfd_fund_id","Capitation Rate Extract table","Fund ID","char"
"dbo","cmc_crv1_extr_rates","crsf_modifier","Capitation Rate Extract table","Group Modifier","char"
"dbo","cmc_crv1_extr_rates","crsf_eff_dt","Capitation Rate Extract table","Effective Date","datetime"
"dbo","cmc_crv1_extr_rates","crsf_term_dt","Capitation Rate Extract table","Termination Date","datetime"
"dbo","cmc_crv1_extr_rates","crer_earn_from_dt","Capitation Rate Extract table","Earn From Date","datetime"
"dbo","cmc_crv1_extr_rates","pdfc_mctr_cfcd","Capitation Rate Extract table","Capitation Product Factor Code","char"
"dbo","cmc_crv1_extr_rates","crsd_id","Capitation Rate Extract table","Supplemental Capitation Rate Schedule ID","char"
"dbo","cmc_crv1_extr_rates","crft_id","Capitation Rate Extract table","Rate Factor ID","char"
"dbo","cmc_crv1_extr_rates","crfd_fund_rate_ind","Capitation Rate Extract table","Fund Rate Indicator","char"
"dbo","cmc_crv1_extr_rates","crfd_prorate_rule","Capitation Rate Extract table","Proration Method","char"
"dbo","cmc_crv1_extr_rates","crfd_pymt_meth_ind","Capitation Rate Extract table","Payment Method Indicator","char"
"dbo","cmc_crv1_extr_rates","crfd_acct_cat","Capitation Rate Extract table","Accounting Category","char"
"dbo","cmc_crv1_extr_rates","crfd_key_mod_ind","Capitation Rate Extract table","Group Modifier Indicator","char"
"dbo","cmc_crv1_extr_rates","crfd_min_amt","Capitation Rate Extract table","Minimum Amount","money"
"dbo","cmc_crv1_extr_rates","crfd_max_amt","Capitation Rate Extract table","Maximum Amount","money"
"dbo","cmc_crv1_extr_rates","crft_mctr_lsty","Capitation Rate Extract table","Lifestyle Code","char"
"dbo","cmc_crv1_extr_rates","crft_eff_dt","Capitation Rate Extract table","Lifestyle Code Effective Date","datetime"
"dbo","cmc_crv1_extr_rates","crft_term_dt","Capitation Rate Extract table","Lifestyle Code Termination Date","datetime"
"dbo","cmc_crv1_extr_rates","crft_fctr","Capitation Rate Extract table","Lifestyle Rating Factor","int"
"dbo","cmc_crv1_extr_rates","crfr_modifier","Capitation Rate Extract table","Group Modifier","char"
"dbo","cmc_crv1_extr_rates","crfr_gender","Capitation Rate Extract table","Gender","char"
"dbo","cmc_crv1_extr_rates","crfr_rel","Capitation Rate Extract table","Relationship","char"
"dbo","cmc_crv1_extr_rates","crfr_age_from","Capitation Rate Extract table","Age From Date","smallint"
"dbo","cmc_crv1_extr_rates","crfr_age_thru","Capitation Rate Extract table","Age Thru","smallint"
"dbo","cmc_crv1_extr_rates","crfr_fund_rate","Capitation Rate Extract table","Fund Rate","money"
"dbo","cmc_crv1_extr_rates","crfr_fund_pct","Capitation Rate Extract table","Fund Percent","int"
"dbo","cmc_crv1_extr_rates","crsr_modifier","Capitation Rate Extract table","Group Modifier","char"
"dbo","cmc_crv1_extr_rates","crsr_eff_dt","Capitation Rate Extract table","Effective Date","datetime"
"dbo","cmc_crv1_extr_rates","crsr_gender","Capitation Rate Extract table","Gender","char"
"dbo","cmc_crv1_extr_rates","crsr_rel","Capitation Rate Extract table","Relationship","char"
"dbo","cmc_crv1_extr_rates","crsr_age_from","Capitation Rate Extract table","Age From","smallint"
"dbo","cmc_crv1_extr_rates","crsr_term_dt","Capitation Rate Extract table","Termination Date","datetime"
"dbo","cmc_crv1_extr_rates","crsr_age_thru","Capitation Rate Extract table","Age Thru","smallint"
"dbo","cmc_crv1_extr_rates","crsr_cell_rate","Capitation Rate Extract table","Rate","money"
