"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_csaa_act_auto","pzap_app_id","Customer Service Automatic Action","Application ID","char"
"dbo","cmc_csaa_act_auto","csfg_page_type","Customer Service Automatic Action","Page Type (Tab)","char"
"dbo","cmc_csaa_act_auto","csad_id","Customer Service Automatic Action","Auto Action ID","char"
"dbo","cmc_csaa_act_auto","csaa_action","Customer Service Automatic Action","Action Classification","char"
"dbo","cmc_csaa_act_auto","atlt_id","Customer Service Automatic Action","Document ID","varchar"
"dbo","cmc_csaa_act_auto","atsy_id","Customer Service Automatic Action","Style ID","char"
"dbo","cmc_csaa_act_auto","cstk_assign_usid","Customer Service Automatic Action","Assigned User ID","char"
"dbo","cmc_csaa_act_auto","cstk_comp_ind","Customer Service Automatic Action","Complaint Indicator","char"
"dbo","cmc_csaa_act_auto","cstk_mctr_subj","Customer Service Automatic Action","Subject Classification","char"
"dbo","cmc_csaa_act_auto","cstk_mctr_cat","Customer Service Automatic Action","Category Classification","char"
"dbo","cmc_csaa_act_auto","cstk_mctr_reas","Customer Service Automatic Action","Reason Classification","char"
"dbo","cmc_csaa_act_auto","cstk_summary","Customer Service Automatic Action","Summary Text","varchar"
"dbo","cmc_csaa_act_auto","cstk_mctr_prty","Customer Service Automatic Action","Priority Classification","char"
"dbo","cmc_csaa_act_auto","cstk_sts","Customer Service Automatic Action","Status code","char"
"dbo","cmc_csaa_act_auto","cstk_page_type","Customer Service Automatic Action","Page Type (Tab)","char"
"dbo","cmc_csaa_act_auto","pzam_id","Customer Service Automatic Action","Extension Macro ID","varchar"
"dbo","cmc_csaa_act_auto","cstk_mctr_poc","Customer Service Automatic Action","Proof of Closure Classification","char"
"dbo","cmc_csaa_act_auto","cstk_next_rev_int","Customer Service Automatic Action","Next Review Date Interval","smallint"
"dbo","cmc_csaa_act_auto","csaa_lock_token","Customer Service Automatic Action","Lock Token","smallint"
"dbo","cmc_csaa_act_auto","atxr_source_id","Customer Service Automatic Action","Attachment Source Id","datetime"
