"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_csac_act_crit","pzap_app_id","Customer Service Automatic Action Criteria","Application ID","char"
"dbo","cmc_csac_act_crit","csfg_page_type","Customer Service Automatic Action Criteria","Page Type (Tab)","char"
"dbo","cmc_csac_act_crit","csad_id","Customer Service Automatic Action Criteria","Auto Action ID","char"
"dbo","cmc_csac_act_crit","csac_group","Customer Service Automatic Action Criteria","Criteria Grouping","char"
"dbo","cmc_csac_act_crit","csac_seq_no","Customer Service Automatic Action Criteria","Sequence Number","smallint"
"dbo","cmc_csac_act_crit","csac_field","Customer Service Automatic Action Criteria","Field","char"
"dbo","cmc_csac_act_crit","csac_data_type","Customer Service Automatic Action Criteria","Data Type","char"
"dbo","cmc_csac_act_crit","csac_func","Customer Service Automatic Action Criteria","Function","char"
"dbo","cmc_csac_act_crit","csac_value1","Customer Service Automatic Action Criteria","Value 1 code","char"
"dbo","cmc_csac_act_crit","csac_value2","Customer Service Automatic Action Criteria","Value 2 code","char"
"dbo","cmc_csac_act_crit","csac_lock_token","Customer Service Automatic Action Criteria","Lock Token","smallint"
"dbo","cmc_csac_act_crit","atxr_source_id","Customer Service Automatic Action Criteria","Attachment Source Id","datetime"
