"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cspb_plan_benv","grgr_ck","Class/Plan Variable Benefit Periods Table","Group Contrived Key","int"
"dbo","cmc_cspb_plan_benv","cscs_id","Class/Plan Variable Benefit Periods Table","Class ID","char"
"dbo","cmc_cspb_plan_benv","cspd_cat","Class/Plan Variable Benefit Periods Table","Product Category","char"
"dbo","cmc_cspb_plan_benv","cspi_id","Class/Plan Variable Benefit Periods Table","Plan ID","char"
"dbo","cmc_cspb_plan_benv","cspb_beg_dt","Class/Plan Variable Benefit Periods Table","Benefit Period Begin Date","datetime"
"dbo","cmc_cspb_plan_benv","cspb_end_dt","Class/Plan Variable Benefit Periods Table","Benefit Period End Date","datetime"
"dbo","cmc_cspb_plan_benv","cspb_twelve_mo_ind","Class/Plan Variable Benefit Periods Table","12 Month Benefit Period Indicator","char"
"dbo","cmc_cspb_plan_benv","cspb_pdpd_co_mnth","Class/Plan Variable Benefit Periods Table","Carryover Month","smallint"
"dbo","cmc_cspb_plan_benv","cspb_lock_token","Class/Plan Variable Benefit Periods Table","Lock Token","smallint"
"dbo","cmc_cspb_plan_benv","atxr_source_id","Class/Plan Variable Benefit Periods Table","Attachment Source Id","datetime"
"dbo","cmc_cspb_plan_benv","sys_last_upd_dtm","Class/Plan Variable Benefit Periods Table","Last Update Datetime","datetime"
"dbo","cmc_cspb_plan_benv","sys_usus_id","Class/Plan Variable Benefit Periods Table","Last Update User ID","varchar"
"dbo","cmc_cspb_plan_benv","sys_dbuser_id","Class/Plan Variable Benefit Periods Table","Last Update DBMS User ID","varchar"
