"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cvcb_li_cob","clcl_id","Vision Line COB Table","Claim Identifier","char"
"dbo","cmc_cvcb_li_cob","cdvl_seq_no","Vision Line COB Table","Line-Item Sequence Number","smallint"
"dbo","cmc_cvcb_li_cob","meme_ck","Vision Line COB Table","Member Contrived Key","int"
"dbo","cmc_cvcb_li_cob","cvcb_cob_type","Vision Line COB Table","COB/Medicare Type","char"
"dbo","cmc_cvcb_li_cob","cvcb_pro_rate_ind","Vision Line COB Table","COB/Medicare Proration Indicator","char"
"dbo","cmc_cvcb_li_cob","cvcb_cob_amt","Vision Line COB Table","COB/Medicare Paid Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_disallow","Vision Line COB Table","COB/Medicare Disallow Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_allow","Vision Line COB Table","COB/Medicare (Higher/Lower) Allowable Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_adj_amt","Vision Line COB Table","COB/Medicare Adjustment Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_subtract_amt","Vision Line COB Table","COB/Medicare Subtraction Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_sav","Vision Line COB Table","COB/Medicare Savings Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_app","Vision Line COB Table","COB/Medicare Applied Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_oop","Vision Line COB Table","COB/Medicare Out-of-Pocket Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_sanction","Vision Line COB Table","Other Carrier Sanction Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_ded_amt","Vision Line COB Table","Other Carrier Deductible Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_copay_amt","Vision Line COB Table","Other Carrier Copay","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_coins_amt","Vision Line COB Table","Other Carrier Coinsurance Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_reas_cd","Vision Line COB Table","Other Carrier Reason Code","char"
"dbo","cmc_cvcb_li_cob","cvcb_allow_pri","Vision Line COB Table","Primary Calculation Allowable","money"
"dbo","cmc_cvcb_li_cob","cvcb_ded_amt_prim","Vision Line COB Table","Primary Calculation Deductible","money"
"dbo","cmc_cvcb_li_cob","cvcb_coins_amt_pri","Vision Line COB Table","Primary Calculation Coinsurance","money"
"dbo","cmc_cvcb_li_cob","cvcb_copay_amt_pri","Vision Line COB Table","Primary Calculation Copayment","money"
"dbo","cmc_cvcb_li_cob","cvcb_paid_amt_pri","Vision Line COB Table","Primary Calculation Paid Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_clnt_bill","Vision Line COB Table","COB/Medicare Client Bill Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_bal_due","Vision Line COB Table","COB/Medicare Balance Due","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_prov_pmt","Vision Line COB Table","COB/Medicare Provider Payment","money"
"dbo","cmc_cvcb_li_cob","cvcb_bill_amt","Vision Line COB Table","Bill Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_cob_tot_prov","Vision Line COB Table","Total Provider Amount","money"
"dbo","cmc_cvcb_li_cob","cvcb_lock_token","Vision Line COB Table","Lock Token","smallint"
"dbo","cmc_cvcb_li_cob","atxr_source_id","Vision Line COB Table","Attachment Source Id","datetime"
"dbo","cmc_cvcb_li_cob","sys_last_upd_dtm","Vision Line COB Table","Last Update Datetime","datetime"
"dbo","cmc_cvcb_li_cob","sys_usus_id","Vision Line COB Table","Last Update User ID","varchar"
"dbo","cmc_cvcb_li_cob","sys_dbuser_id","Vision Line COB Table","Last Update DBMS User ID","varchar"
