"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_dcat_cdh_acc","dcat_id","Debit Card Accumulation","Identifier","numeric"
"dbo","cmc_dcat_cdh_acc","sbsb_ck","Debit Card Accumulation","Subscriber Contrived Key","int"
"dbo","cmc_dcat_cdh_acc","meme_ck","Debit Card Accumulation","Member Contrived Key","int"
"dbo","cmc_dcat_cdh_acc","dcat_trans_type","Debit Card Accumulation","Transaction Type","char"
"dbo","cmc_dcat_cdh_acc","cspd_cat","Debit Card Accumulation","Category","char"
"dbo","cmc_dcat_cdh_acc","dcat_plan_yr_dt","Debit Card Accumulation","Plan Year Date","datetime"
"dbo","cmc_dcat_cdh_acc","dcat_eff_dt","Debit Card Accumulation","Effective Date","datetime"
"dbo","cmc_dcat_cdh_acc","hsai_acc_sfx","Debit Card Accumulation","HSAI Accumulator Suffix","char"
"dbo","cmc_dcat_cdh_acc","sbfs_fsa_type","Debit Card Accumulation","FSA Type","char"
"dbo","cmc_dcat_cdh_acc","grdc_pfx","Debit Card Accumulation","Group Debit Card Prefix","char"
"dbo","cmc_dcat_cdh_acc","dcat_claim_amt","Debit Card Accumulation","Claim Amount","money"
"dbo","cmc_dcat_cdh_acc","dcat_fam_bal","Debit Card Accumulation","Family Balance","money"
"dbo","cmc_dcat_cdh_acc","dcat_fam_trans_bal","Debit Card Accumulation","Family Transaction Balance","money"
"dbo","cmc_dcat_cdh_acc","dcat_ind_bal","Debit Card Accumulation","Individual Balance","money"
"dbo","cmc_dcat_cdh_acc","dcat_ind_trans_bal","Debit Card Accumulation","Individual Transaction Balance","money"
"dbo","cmc_dcat_cdh_acc","dcat_source","Debit Card Accumulation","Source","char"
"dbo","cmc_dcat_cdh_acc","dcat_source_id","Debit Card Accumulation","Source Identifier","varchar"
"dbo","cmc_dcat_cdh_acc","pzap_id","Debit Card Accumulation","PZAP ID","char"
"dbo","cmc_dcat_cdh_acc","pzpz_id","Debit Card Accumulation","PZPZ ID","char"
"dbo","cmc_dcat_cdh_acc","dcat_sts","Debit Card Accumulation","Status","char"
"dbo","cmc_dcat_cdh_acc","dcat_sts_dtm","Debit Card Accumulation","Status Date Time","datetime"
"dbo","cmc_dcat_cdh_acc","dcat_bypass_source","Debit Card Accumulation","Bypass Source","numeric"
"dbo","cmc_dcat_cdh_acc","dcat_creat_usus_id","Debit Card Accumulation","Create User ID","char"
"dbo","cmc_dcat_cdh_acc","dcat_create_dtm","Debit Card Accumulation","Create Date Time","datetime"
"dbo","cmc_dcat_cdh_acc","dcat_collect_dtm","Debit Card Accumulation","Collect Date Time","datetime"
"dbo","cmc_dcat_cdh_acc","dcat_reconcile_dtm","Debit Card Accumulation","Reconcile Date Time","datetime"
"dbo","cmc_dcat_cdh_acc","dcat_vndr_err_cd","Debit Card Accumulation","Vendor Error Code","varchar"
"dbo","cmc_dcat_cdh_acc","dcat_vndr_err_desc","Debit Card Accumulation","Vendor Error Description","varchar"
"dbo","cmc_dcat_cdh_acc","dcat_addl_data","Debit Card Accumulation","Additional Data","varchar"
"dbo","cmc_dcat_cdh_acc","dcat_lock_token","Debit Card Accumulation","Lock Token","smallint"
"dbo","cmc_dcat_cdh_acc","atxr_source_id","Debit Card Accumulation","Attachment Source Id","datetime"
