"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_dcti_imp_accum","dcti_id","Debit Card Import Accumulator","Identifier","numeric"
"dbo","cmc_dcti_imp_accum","dcti_acct_type_cd","Debit Card Import Accumulator","Account Type Code","char"
"dbo","cmc_dcti_imp_accum","dcti_ssn","Debit Card Import Accumulator","Social Security Number","char"
"dbo","cmc_dcti_imp_accum","dcti_cardholder_id","Debit Card Import Accumulator","Cardholder ID","varchar"
"dbo","cmc_dcti_imp_accum","dcti_debt_card_no","Debit Card Import Accumulator","Debit Card Number","varchar"
"dbo","cmc_dcti_imp_accum","dcti_from_dt","Debit Card Import Accumulator","From Date","datetime"
"dbo","cmc_dcti_imp_accum","dcti_to_dt","Debit Card Import Accumulator","To Date","datetime"
"dbo","cmc_dcti_imp_accum","dcti_ind_avail_bal","Debit Card Import Accumulator","Individual Available Balance","money"
"dbo","cmc_dcti_imp_accum","dcti_ind_disb_amt","Debit Card Import Accumulator","Individual Disbursed Amount","money"
"dbo","cmc_dcti_imp_accum","dcti_ind_preau_bal","Debit Card Import Accumulator","Individual Pre-authorized Balance","money"
"dbo","cmc_dcti_imp_accum","dcti_fam_avail_bal","Debit Card Import Accumulator","Family Available Balance","money"
"dbo","cmc_dcti_imp_accum","dcti_fam_disb_amt","Debit Card Import Accumulator","Family Disbursed Amount","money"
"dbo","cmc_dcti_imp_accum","dcti_fam_preau_bal","Debit Card Import Accumulator","Family Pre-authorized Balance","money"
"dbo","cmc_dcti_imp_accum","dcti_employer_id","Debit Card Import Accumulator","Employer ID","char"
"dbo","cmc_dcti_imp_accum","dcti_merch_name","Debit Card Import Accumulator","Merchant Name","varchar"
"dbo","cmc_dcti_imp_accum","dcti_merch_type_cd","Debit Card Import Accumulator","Merchant Type Code","char"
"dbo","cmc_dcti_imp_accum","dcti_note","Debit Card Import Accumulator","Note","varchar"
"dbo","cmc_dcti_imp_accum","dcti_seq_no","Debit Card Import Accumulator","Sequence Number","int"
"dbo","cmc_dcti_imp_accum","dcti_settle_dt","Debit Card Import Accumulator","Settlement Date","datetime"
"dbo","cmc_dcti_imp_accum","dcti_tpa_id","Debit Card Import Accumulator","TPA ID","char"
"dbo","cmc_dcti_imp_accum","dcti_adj_trns_sts","Debit Card Import Accumulator","Adjustment Transaction Status","varchar"
"dbo","cmc_dcti_imp_accum","dcti_trns_amt","Debit Card Import Accumulator","Transaction Amount","money"
"dbo","cmc_dcti_imp_accum","dcti_trns_dtm","Debit Card Import Accumulator","Transaction Date Time","datetime"
"dbo","cmc_dcti_imp_accum","dcti_trns_deny_amt","Debit Card Import Accumulator","Transaction Amount Denied","money"
"dbo","cmc_dcti_imp_accum","dcti_pln_yr_beg_dt","Debit Card Import Accumulator","Plan Year Begin Date","datetime"
"dbo","cmc_dcti_imp_accum","dcti_pln_yr_end_dt","Debit Card Import Accumulator","Plan Year End Date","datetime"
"dbo","cmc_dcti_imp_accum","dcti_trns_cd","Debit Card Import Accumulator","Transaction Code","varchar"
"dbo","cmc_dcti_imp_accum","dcti_sts","Debit Card Import Accumulator","Status","char"
"dbo","cmc_dcti_imp_accum","dcti_err_rec_id","Debit Card Import Accumulator","Error Record ID","numeric"
"dbo","cmc_dcti_imp_accum","symd_id","Debit Card Import Accumulator","SYMD ID","char"
"dbo","cmc_dcti_imp_accum","symd_msg_cd","Debit Card Import Accumulator","SYMD Error Message Code","int"
"dbo","cmc_dcti_imp_accum","dcti_sts_dtm","Debit Card Import Accumulator","Status Date Time","datetime"
"dbo","cmc_dcti_imp_accum","dcti_lst_usus_id","Debit Card Import Accumulator","Last User ID","char"
"dbo","cmc_dcti_imp_accum","pitm_ticket_no","Debit Card Import Accumulator","Ticket Number","char"
"dbo","cmc_dcti_imp_accum","dcti_mctr_cncl_rsn","Debit Card Import Accumulator","Cancel Reason","char"
"dbo","cmc_dcti_imp_accum","dcti_dependent_ind","Debit Card Import Accumulator","Dependent Indicator","varchar"
"dbo","cmc_dcti_imp_accum","dcti_dependent_id","Debit Card Import Accumulator","Dependent ID","varchar"
"dbo","cmc_dcti_imp_accum","dcti_addl_data","Debit Card Import Accumulator","Additional Data","varchar"
"dbo","cmc_dcti_imp_accum","dcti_lock_token","Debit Card Import Accumulator","Lock Token","smallint"
"dbo","cmc_dcti_imp_accum","atxr_source_id","Debit Card Import Accumulator","Attachment Source Id","datetime"
