"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ecru_exch_rule","pdbc_pfx","Exchange Rules","Exchange Rules Prefix","char"
"dbo","cmc_ecru_exch_rule","ecru_eff_dt","Exchange Rules","Effective Date","datetime"
"dbo","cmc_ecru_exch_rule","ench_channel_id","Exchange Rules","Channel","varchar"
"dbo","cmc_ecru_exch_rule","enex_exchange_id","Exchange Rules","Exchange","varchar"
"dbo","cmc_ecru_exch_rule","ecru_term_dt","Exchange Rules","Termination Date","datetime"
"dbo","cmc_ecru_exch_rule","ecru_grace_meth","Exchange Rules","Grace Period Method","char"
"dbo","cmc_ecru_exch_rule","ecru_grace_days","Exchange Rules","Grace Period Months","smallint"
"dbo","cmc_ecru_exch_rule","ecru_lock_token","Exchange Rules","Lock Token","smallint"
"dbo","cmc_ecru_exch_rule","atxr_source_id","Exchange Rules","Attachment Source Id","datetime"
"dbo","cmc_ecru_exch_rule","sys_last_upd_dtm","Exchange Rules","Last Update Datetime","datetime"
"dbo","cmc_ecru_exch_rule","sys_usus_id","Exchange Rules","Last Update User ID","varchar"
"dbo","cmc_ecru_exch_rule","sys_dbuser_id","Exchange Rules","Last Update DBMS User ID","varchar"
