"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ehbc_essn_ben","pdbc_pfx","Essential Health Benefits","Prefix","char"
"dbo","cmc_ehbc_essn_ben","sese_id","Essential Health Benefits","Service ID","char"
"dbo","cmc_ehbc_essn_ben","ehbc_eff_dt","Essential Health Benefits","Effective Date","datetime"
"dbo","cmc_ehbc_essn_ben","ehbc_term_dt","Essential Health Benefits","Termination Date","datetime"
"dbo","cmc_ehbc_essn_ben","ehbd_id","Essential Health Benefits","Essential Health Benefits ID","char"
"dbo","cmc_ehbc_essn_ben","ehbc_lock_token","Essential Health Benefits","Lock Token","smallint"
"dbo","cmc_ehbc_essn_ben","atxr_source_id","Essential Health Benefits","Attachment Source Id","datetime"
"dbo","cmc_ehbc_essn_ben","sys_last_upd_dtm","Essential Health Benefits","Last Update Datetime","datetime"
"dbo","cmc_ehbc_essn_ben","sys_usus_id","Essential Health Benefits","Last Update User ID","varchar"
"dbo","cmc_ehbc_essn_ben","sys_dbuser_id","Essential Health Benefits","Last Update DBMS User ID","varchar"
