"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_evcl_event_claim","evin_id","Event Claims","Event Instance ID","numeric"
"dbo","cmc_evcl_event_claim","clcl_id","Event Claims","Claim Identifier","char"
"dbo","cmc_evcl_event_claim","clcl_cl_type","Event Claims","Claim Type","char"
"dbo","cmc_evcl_event_claim","clcl_cl_sub_type","Event Claims","Claim Sub Type","char"
"dbo","cmc_evcl_event_claim","clcl_cur_sts","Event Claims","Claim Status","char"
"dbo","cmc_evcl_event_claim","sbsb_id","Event Claims","Subscriber Identification number","char"
"dbo","cmc_evcl_event_claim","meme_sfx","Event Claims","Member Suffix","smallint"
"dbo","cmc_evcl_event_claim","grgr_id","Event Claims","Group Identifier","char"
"dbo","cmc_evcl_event_claim","cspi_id","Event Claims","Plan ID","char"
"dbo","cmc_evcl_event_claim","pdpd_id","Event Claims","Product ID","char"
"dbo","cmc_evcl_event_claim","lobd_id","Event Claims","Line of Business Identifier","char"
"dbo","cmc_evcl_event_claim","clcl_last_act_dtm","Event Claims","Claim Last Action Date","datetime"
"dbo","cmc_evcl_event_claim","clcl_paid_dt","Event Claims","Claim Paid Date","datetime"
"dbo","cmc_evcl_event_claim","clcl_low_svc_dt","Event Claims","Claim Low Service Date","datetime"
"dbo","cmc_evcl_event_claim","clcl_high_svc_dt","Event Claims","Claim High Service Date","datetime"
"dbo","cmc_evcl_event_claim","cspd_cat","Event Claims","Product Category","char"
"dbo","cmc_evcl_event_claim","prpr_id","Event Claims","Servicing Provider Identifier","char"
"dbo","cmc_evcl_event_claim","agag_id","Event Claims","Provider Agreement Identifier","char"
"dbo","cmc_evcl_event_claim","pdds_mctr_bcat","Event Claims","Business Category","char"
"dbo","cmc_evcl_event_claim","clcl_tot_chg","Event Claims",": Total Claim Charge","money"
"dbo","cmc_evcl_event_claim","clcl_tot_payable","Event Claims","Total Claim Payable","money"
"dbo","cmc_evcl_event_claim","clcl_pre_price_ind","Event Claims","Pre-pricing Indicator","char"
"dbo","cmc_evcl_event_claim","clmi_its_sccf_no","Event Claims","ITS Serial Number","char"
"dbo","cmc_evcl_event_claim","clmi_xref_sccf_no","Event Claims","Cross Reference SCCF number","char"
"dbo","cmc_evcl_event_claim","clmi_host_plan_code","Event Claims","Host Plan Code","char"
"dbo","cmc_evcl_event_claim","clmi_home_plan_code","Event Claims","Home Plan Code","char"
"dbo","cmc_evcl_event_claim","clmi_local_plan_code","Event Claims","Local Plan Code","char"
"dbo","cmc_evcl_event_claim","evcl_copay_amt","Event Claims","Total Claim Copay Amount","money"
"dbo","cmc_evcl_event_claim","evcl_coins_amt","Event Claims",": Total Claim Coinsurance Amount","money"
"dbo","cmc_evcl_event_claim","evcl_ded_amt","Event Claims","Total Claim Deductible Amount","money"
"dbo","cmc_evcl_event_claim","evcl_allow_amt","Event Claims","Total Claim Allowed Amount","money"
"dbo","cmc_evcl_event_claim","cdhl_ded_amt","Event Claims","Total Deductible Amount","money"
"dbo","cmc_evcl_event_claim","cdhl_paid_amt","Event Claims","Total Paid Amount","money"
"dbo","cmc_evcl_event_claim","evcl_sts","Event Claims","Event Claim Status","char"
"dbo","cmc_evcl_event_claim","evcl_lock_token","Event Claims","Lock Token","smallint"
"dbo","cmc_evcl_event_claim","atxr_source_id","Event Claims","Attachment Source Id","datetime"
"dbo","cmc_evcl_event_claim","sys_last_upd_dtm","Event Claims","Last Update Datetime","datetime"
"dbo","cmc_evcl_event_claim","sys_usus_id","Event Claims","Last Update User ID","varchar"
"dbo","cmc_evcl_event_claim","sys_dbuser_id","Event Claims","Last Update DBMS User ID","varchar"
