"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_faac_accum","sbsb_ck","","Subscriber Contrived Key","int"
"dbo","cmc_faac_accum","pdpd_acc_sfx","","Product Accumulator Suffix","char"
"dbo","cmc_faac_accum","faac_acc_type","","","char"
"dbo","cmc_faac_accum","acac_acc_no","","EOB Amount Accumulator Number","smallint"
"dbo","cmc_faac_accum","grgr_ck","","Group Address Line 1","int"
"dbo","cmc_faac_accum","faac_cur_year","","","datetime"
"dbo","cmc_faac_accum","faac_yr1_amt1","","","money"
"dbo","cmc_faac_accum","faac_yr1_amt2","","","money"
"dbo","cmc_faac_accum","faac_yr2_amt1","","","money"
"dbo","cmc_faac_accum","faac_yr2_amt2","","","money"
"dbo","cmc_faac_accum","faac_yr3_amt1","","","money"
"dbo","cmc_faac_accum","faac_yr3_amt2","","","money"
"dbo","cmc_faac_accum","faac_yr1_ctr1","","","int"
"dbo","cmc_faac_accum","faac_yr1_ctr2","","","int"
"dbo","cmc_faac_accum","faac_yr2_ctr1","","","int"
"dbo","cmc_faac_accum","faac_yr2_ctr2","","","int"
"dbo","cmc_faac_accum","faac_yr3_ctr1","","","int"
"dbo","cmc_faac_accum","faac_yr3_ctr2","","","int"
"dbo","cmc_faac_accum","faac_lock_token","","Lock Token","smallint"
"dbo","cmc_faac_accum","faac_lst_clcl_id_nvl","","","char"
"dbo","cmc_faac_accum","faac_mctr_rsn_nvl","","","char"
"dbo","cmc_faac_accum","syin_inst","","System Instance","int"
