"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_faac_accum_old","sbsb_ck","Former- Family Accumulators Data","Subscriber Contrived Key","int"
"dbo","cmc_faac_accum_old","pdpd_acc_sfx","Former- Family Accumulators Data","Product Accumulator Suffix","char"
"dbo","cmc_faac_accum_old","faac_acc_type","Former- Family Accumulators Data","","char"
"dbo","cmc_faac_accum_old","acac_acc_no","Former- Family Accumulators Data","EOB Amount Accumulator Number","smallint"
"dbo","cmc_faac_accum_old","grgr_ck","Former- Family Accumulators Data","Group Address Line 1","int"
"dbo","cmc_faac_accum_old","faac_cur_year","Former- Family Accumulators Data","","datetime"
"dbo","cmc_faac_accum_old","faac_yr1_amt1","Former- Family Accumulators Data","","money"
"dbo","cmc_faac_accum_old","faac_yr1_amt2","Former- Family Accumulators Data","","money"
"dbo","cmc_faac_accum_old","faac_yr2_amt1","Former- Family Accumulators Data","","money"
"dbo","cmc_faac_accum_old","faac_yr2_amt2","Former- Family Accumulators Data","","money"
"dbo","cmc_faac_accum_old","faac_yr3_amt1","Former- Family Accumulators Data","","money"
"dbo","cmc_faac_accum_old","faac_yr3_amt2","Former- Family Accumulators Data","","money"
"dbo","cmc_faac_accum_old","faac_yr1_ctr1","Former- Family Accumulators Data","","int"
"dbo","cmc_faac_accum_old","faac_yr1_ctr2","Former- Family Accumulators Data","","int"
"dbo","cmc_faac_accum_old","faac_yr2_ctr1","Former- Family Accumulators Data","","int"
"dbo","cmc_faac_accum_old","faac_yr2_ctr2","Former- Family Accumulators Data","","int"
"dbo","cmc_faac_accum_old","faac_yr3_ctr1","Former- Family Accumulators Data","","int"
"dbo","cmc_faac_accum_old","faac_yr3_ctr2","Former- Family Accumulators Data","","int"
"dbo","cmc_faac_accum_old","faac_lock_token","Former- Family Accumulators Data","Lock Token","smallint"
"dbo","cmc_faac_accum_old","faac_lst_clcl_id_nvl","Former- Family Accumulators Data","","char"
"dbo","cmc_faac_accum_old","faac_mctr_rsn_nvl","Former- Family Accumulators Data","","char"
"dbo","cmc_faac_accum_old","syin_inst","Former- Family Accumulators Data","System Instance","int"
