"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_faar_fatx","sbsb_ck","Family accumulator archive status table","Subscriber Contrived Key","int"
"dbo","cmc_faar_fatx","pdpd_acc_sfx","Family accumulator archive status table","Product Accumulator Suffix","char"
"dbo","cmc_faar_fatx","fatx_acc_type","Family accumulator archive status table","Accumulator Type","char"
"dbo","cmc_faar_fatx","acac_acc_no","Family accumulator archive status table","Accumulator number","smallint"
"dbo","cmc_faar_fatx","fatx_ben_beg_dt","Family accumulator archive status table","Benefit Period Begin Date","datetime"
"dbo","cmc_faar_fatx","fatx_seq_no_last","Family accumulator archive status table","Highest Sequence No","int"
"dbo","cmc_faar_fatx","faar_status","Family accumulator archive status table","Archive Status","char"
"dbo","cmc_faar_fatx","faar_create_dt","Family accumulator archive status table","Accumulator Archive Create Date","datetime"
"dbo","cmc_faar_fatx","faar_last_act_dt","Family accumulator archive status table","Last Action Date","datetime"
"dbo","cmc_faar_fatx","faar_archive_path","Family accumulator archive status table","Archive File Location","varchar"
"dbo","cmc_faar_fatx","faar_lock_token","Family accumulator archive status table","Lock Token","smallint"
