"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_fatx_accum_txn","sbsb_ck","Family Accumulator Transaction Table","Subscriber Contrived Key","int"
"dbo","cmc_fatx_accum_txn","pdpd_acc_sfx","Family Accumulator Transaction Table","Accumulator Suffix","char"
"dbo","cmc_fatx_accum_txn","fatx_acc_type","Family Accumulator Transaction Table","Accumulator Type","char"
"dbo","cmc_fatx_accum_txn","acac_acc_no","Family Accumulator Transaction Table","Accumulator Number","smallint"
"dbo","cmc_fatx_accum_txn","fatx_ben_beg_dt","Family Accumulator Transaction Table","Benefit Period Begins Date","datetime"
"dbo","cmc_fatx_accum_txn","fatx_seq_no","Family Accumulator Transaction Table","Transaction Sequence Number","int"
"dbo","cmc_fatx_accum_txn","grgr_ck","Family Accumulator Transaction Table","Group Contrived Key","int"
"dbo","cmc_fatx_accum_txn","fatx_txn_amt1","Family Accumulator Transaction Table","Family Accumulator Transaction Amount 1","money"
"dbo","cmc_fatx_accum_txn","fatx_txn_amt2","Family Accumulator Transaction Table","Family Accumulator Transaction Amount 2","money"
"dbo","cmc_fatx_accum_txn","fatx_txn_ctr1","Family Accumulator Transaction Table","Family Accumulator Transaction Counter 1","numeric"
"dbo","cmc_fatx_accum_txn","fatx_txn_ctr2","Family Accumulator Transaction Table","Family Accumulator Transaction Counter 2","numeric"
"dbo","cmc_fatx_accum_txn","fatx_amt1","Family Accumulator Transaction Table","Family Accumulator Cumulative Amount 1","money"
"dbo","cmc_fatx_accum_txn","fatx_amt2","Family Accumulator Transaction Table","Family Accumulator Cumulative Amount 2","money"
"dbo","cmc_fatx_accum_txn","fatx_ctr1","Family Accumulator Transaction Table","Family Accumulator Cumulative Counter 1","numeric"
"dbo","cmc_fatx_accum_txn","fatx_ctr2","Family Accumulator Transaction Table","Family Accumulator Cumulative Counter 2","numeric"
"dbo","cmc_fatx_accum_txn","fatx_person_ctr","Family Accumulator Transaction Table","Family Accumulator Number of Persons","smallint"
"dbo","cmc_fatx_accum_txn","fatx_person_ctr_co","Family Accumulator Transaction Table","Family Accumulator Number of Persons Carryover","smallint"
"dbo","cmc_fatx_accum_txn","meme_ck","Family Accumulator Transaction Table","Member Contrived Key","int"
"dbo","cmc_fatx_accum_txn","fatx_create_dtm","Family Accumulator Transaction Table","Family Accumulator Transaction Create Datetime","datetime"
"dbo","cmc_fatx_accum_txn","fatx_sts_ind","Family Accumulator Transaction Table","Family Accumulator Transaction Status Indicator","char"
"dbo","cmc_fatx_accum_txn","clcl_id","Family Accumulator Transaction Table","Family Accumulator Transaction Claim ID","char"
"dbo","cmc_fatx_accum_txn","fatx_mctr_rsn","Family Accumulator Transaction Table","Family Accumulator Transaction Update Reason","char"
"dbo","cmc_fatx_accum_txn","fatx_external_id","Family Accumulator Transaction Table","Family Accumulator Transaction External ID","varchar"
"dbo","cmc_fatx_accum_txn","usus_id","Family Accumulator Transaction Table","User Identifier","varchar"
"dbo","cmc_fatx_accum_txn","fatx_period_type","Family Accumulator Transaction Table","Family Accumulator Transaction Period Type","char"
"dbo","cmc_fatx_accum_txn","syin_inst","Family Accumulator Transaction Table","Family Accumulator Transaction Instance ID","bigint"
"dbo","cmc_fatx_accum_txn","fatx_lock_token","Family Accumulator Transaction Table","Lock Token","smallint"
"dbo","cmc_fatx_accum_txn","atxr_source_id","Family Accumulator Transaction Table","Attachment Source Id","datetime"
"dbo","cmc_fatx_accum_txn","sys_last_upd_dtm","Family Accumulator Transaction Table","Last Update Datetime","datetime"
"dbo","cmc_fatx_accum_txn","sys_usus_id","Family Accumulator Transaction Table","Last Update User ID","varchar"
"dbo","cmc_fatx_accum_txn","sys_dbuser_id","Family Accumulator Transaction Table","Last Update DBMS User ID","varchar"
