"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_grhq_request","grgr_ck","Group HRA Request","Group Contrived Key","int"
"dbo","cmc_grhq_request","grhq_plan_yr_dt","Group HRA Request","HRA Plan Year Date","datetime"
"dbo","cmc_grhq_request","grhq_type","Group HRA Request","Request Type","char"
"dbo","cmc_grhq_request","sbsb_ck","Group HRA Request","Subscriber Contrived Key","int"
"dbo","cmc_grhq_request","grhq_seq_no","Group HRA Request","Sequence Number","int"
"dbo","cmc_grhq_request","grhq_prcs_req_dt","Group HRA Request","Request Date","datetime"
"dbo","cmc_grhq_request","grhq_prcs_ind","Group HRA Request","Request Type","char"
"dbo","cmc_grhq_request","usus_id","Group HRA Request","User Identifier","char"
"dbo","cmc_grhq_request","grhq_prcs_dtm","Group HRA Request","Process Date Time","datetime"
"dbo","cmc_grhq_request","grhq_sts","Group HRA Request","Request Status","char"
"dbo","cmc_grhq_request","grhq_lock_token","Group HRA Request","Lock Token","smallint"
"dbo","cmc_grhq_request","atxr_source_id","Group HRA Request","Attachment Source Id","datetime"
