"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_grre_relation","grgr_ck","Group Relationship to Related Entity","Group Contrived Key","int"
"dbo","cmc_grre_relation","grre_category","Group Relationship to Related Entity","Category","char"
"dbo","cmc_grre_relation","grre_mctr_type","Group Relationship to Related Entity","Relationship Type","char"
"dbo","cmc_grre_relation","grre_eff_dt","Group Relationship to Related Entity","Relationship Effective Date","datetime"
"dbo","cmc_grre_relation","grre_term_dt","Group Relationship to Related Entity","Relationship Termination Date","datetime"
"dbo","cmc_grre_relation","grre_mctr_trsn","Group Relationship to Related Entity","Relationship Termination Reason","char"
"dbo","cmc_grre_relation","mcre_grre_id","Group Relationship to Related Entity","Related Entity ID","char"
"dbo","cmc_grre_relation","grre_lock_token","Group Relationship to Related Entity","Lock Token","smallint"
"dbo","cmc_grre_relation","atxr_source_id","Group Relationship to Related Entity","Attachment Source Id","datetime"
"dbo","cmc_grre_relation","sys_last_upd_dtm","Group Relationship to Related Entity","Last Update Datetime","datetime"
"dbo","cmc_grre_relation","sys_usus_id","Group Relationship to Related Entity","Last Update User ID","varchar"
"dbo","cmc_grre_relation","sys_dbuser_id","Group Relationship to Related Entity","Last Update DBMS User ID","varchar"
