"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_hsai_hsa_admin","hsai_id","HRA Administrative Information Table","HRA Administrative Information ID","char"
"dbo","cmc_hsai_hsa_admin","hsai_eff_dt","HRA Administrative Information Table","HRA Administrative Information Effective Date","datetime"
"dbo","cmc_hsai_hsa_admin","hsai_term_dt","HRA Administrative Information Table","HRA Administrative Information Termination Date","datetime"
"dbo","cmc_hsai_hsa_admin","hsai_desc","HRA Administrative Information Table","HRA Administrative Information Description","varchar"
"dbo","cmc_hsai_hsa_admin","hsai_ded_ind","HRA Administrative Information Table","HRA Administrative Information Deductible Indicator","char"
"dbo","cmc_hsai_hsa_admin","hsai_copay_ind","HRA Administrative Information Table","HRA Administrative Information Copay Indicator","char"
"dbo","cmc_hsai_hsa_admin","hsai_coins_ind","HRA Administrative Information Table","HRA Administrative Information Coinsurance Indicator","char"
"dbo","cmc_hsai_hsa_admin","hsai_pliab_dis_ind","HRA Administrative Information Table","HRA Administrative Information Patient Liability Disallow Indicator","char"
"dbo","cmc_hsai_hsa_admin","hsai_cob_calc_ind","HRA Administrative Information Table","HRA Administrative Information COB Calculation Indicator","char"
"dbo","cmc_hsai_hsa_admin","hsal_pfx","HRA Administrative Information Table","HRA Administrative Information HRA Allocation Table Prefix","char"
"dbo","cmc_hsai_hsa_admin","hsqe_pfx","HRA Administrative Information Table","HRA Administrative Information HRA Qualified Medical Expense Table Pre","char"
"dbo","cmc_hsai_hsa_admin","hsai_acc_sfx","HRA Administrative Information Table","HRA Administrative Information Accumulator Suffix","char"
"dbo","cmc_hsai_hsa_admin","hsai_hsa_fsa_ind","HRA Administrative Information Table","HRA Administrative Information Processing Order","char"
"dbo","cmc_hsai_hsa_admin","lobd_id","HRA Administrative Information Table","HRA Administrative Information Line of Business ID","char"
"dbo","cmc_hsai_hsa_admin","hsai_covered_pct","HRA Administrative Information Table","HRA Administrative Information Covered Percentage","money"
"dbo","cmc_hsai_hsa_admin","hsai_disall_excd","HRA Administrative Information Table","HRA Administrative Information Disallow Explanation Code","char"
"dbo","cmc_hsai_hsa_admin","dede_pfx","HRA Administrative Information Table","HRA Administrative Information Deductible Rules Prefix","char"
"dbo","cmc_hsai_hsa_admin","ihra_its_pfx","HRA Administrative Information Table","HRA Administrative Information ITS HRA Prefix","char"
"dbo","cmc_hsai_hsa_admin","hsai_ded_acc_no","HRA Administrative Information Table","HRA Administrative Information Deductible Accumulator Number","smallint"
"dbo","cmc_hsai_hsa_admin","hsai_lock_token","HRA Administrative Information Table","Lock Token","smallint"
"dbo","cmc_hsai_hsa_admin","atxr_source_id","HRA Administrative Information Table","Attachment Source Id","datetime"
