"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_itat_host_attr","itat_its_sbsb_id","ITS Host Attribution","ITS Subscriber ID","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_last_name","ITS Host Attribution","Member Last Name","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_first_name","ITS Host Attribution","Member First Name","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_dob","ITS Host Attribution","Member Date of Birth","datetime"
"dbo","cmc_itat_host_attr","itat_attr_begin_dt","ITS Host Attribution","Attribution Period Begin Date","datetime"
"dbo","cmc_itat_host_attr","itat_attr_end_dt","ITS Host Attribution","Attribution Period End Date","datetime"
"dbo","cmc_itat_host_attr","itat_attr_prov_id","ITS Host Attribution","Attributed Provider ID","varchar"
"dbo","cmc_itat_host_attr","itat_attr_mmi_id","ITS Host Attribution","MMI Identifier","varchar"
"dbo","cmc_itat_host_attr","itat_cons_mbr_id","ITS Host Attribution","Consistent Member ID","varchar"
"dbo","cmc_itat_host_attr","itat_home_mbr_id","ITS Host Attribution","Home Member ID","varchar"
"dbo","cmc_itat_host_attr","itat_npi_prov_id","ITS Host Attribution","Attributed NIP Provider ID","varchar"
"dbo","cmc_itat_host_attr","itat_value_pgm_id","ITS Host Attribution","Value-Based Program ID","varchar"
"dbo","cmc_itat_host_attr","itat_prov_tax_id","ITS Host Attribution","Attributed Provider Tax ID","varchar"
"dbo","cmc_itat_host_attr","itat_prov_ent_id","ITS Host Attribution","Provider Entity Identifier","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_pcp_ind","ITS Host Attribution","Member Selected PCP Indicator","char"
"dbo","cmc_itat_host_attr","itat_attr_ind","ITS Host Attribution","Attribution Indicator","char"
"dbo","cmc_itat_host_attr","itat_mbr_gender","ITS Host Attribution","Member Gender","char"
"dbo","cmc_itat_host_attr","itat_mbr_mid_ini","ITS Host Attribution","Member Middle Initial","char"
"dbo","cmc_itat_host_attr","itat_mbr_pri_addr1","ITS Host Attribution","Member Primary Street Address1","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_pri_addr2","ITS Host Attribution","Member Primary Street Address2","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_city","ITS Host Attribution","Member Primary City","varchar"
"dbo","cmc_itat_host_attr","itat_mbr_state","ITS Host Attribution","Member Primary State","char"
"dbo","cmc_itat_host_attr","itat_mbr_zip_cd","ITS Host Attribution","Member Primary Zip Code","char"
"dbo","cmc_itat_host_attr","itat_mbr_phone","ITS Host Attribution","Member Primary Phone Number","varchar"
"dbo","cmc_itat_host_attr","itat_prior_cmi","ITS Host Attribution","Prior CMI","varchar"
"dbo","cmc_itat_host_attr","itat_prior_mmi","ITS Host Attribution","Prior MMI","varchar"
"dbo","cmc_itat_host_attr","itat_addl_data","ITS Host Attribution","Additioanl Data","varchar"
"dbo","cmc_itat_host_attr","itat_lock_token","ITS Host Attribution","Lock Token","smallint"
"dbo","cmc_itat_host_attr","atxr_source_id","ITS Host Attribution","Attachment Source Id","datetime"
"dbo","cmc_itat_host_attr","sys_last_upd_dtm","ITS Host Attribution","Last Update Datetime","datetime"
"dbo","cmc_itat_host_attr","sys_usus_id","ITS Host Attribution","Last Update User ID","varchar"
"dbo","cmc_itat_host_attr","sys_dbuser_id","ITS Host Attribution","Last Update DBMS User ID","varchar"
