"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_itcp_clas_prov","itpc_pfx","ITS Classification of Provider","Prefix","char"
"dbo","cmc_itcp_clas_prov","itcp_seq_no","ITS Classification of Provider","Sequence number","smallint"
"dbo","cmc_itcp_clas_prov","itcp_delivery_meth","ITS Classification of Provider","Delivery Method","char"
"dbo","cmc_itcp_clas_prov","itcp_ntwk_ind","ITS Classification of Provider","Network Indicator","char"
"dbo","cmc_itcp_clas_prov","itcp_its_ntwk_type","ITS Classification of Provider","ITS Network Type","char"
"dbo","cmc_itcp_clas_prov","prpr_entity","ITS Classification of Provider","Provider Entity","char"
"dbo","cmc_itcp_clas_prov","prpr_mctr_type","ITS Classification of Provider","Provider Type","char"
"dbo","cmc_itcp_clas_prov","itcp_class_prov","ITS Classification of Provider","Classification of Provider","char"
"dbo","cmc_itcp_clas_prov","itcp_addl_data","ITS Classification of Provider","Additional Data","varchar"
"dbo","cmc_itcp_clas_prov","itcp_lock_token","ITS Classification of Provider","Lock Token","smallint"
"dbo","cmc_itcp_clas_prov","atxr_source_id","ITS Classification of Provider","Attachment Source Id","datetime"
"dbo","cmc_itcp_clas_prov","itcp_hpn_eff_dt_nvl","ITS Classification of Provider","HPN Effective Date","datetime"
"dbo","cmc_itcp_clas_prov","itcp_hpn_term_dt_nvl","ITS Classification of Provider","HPN Termination Date","datetime"
