"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ithm_adm_info","ithm_home_plan_cd","ITS Home Administrative Rules","Home Plan Code","char"
"dbo","cmc_ithm_adm_info","ithm_local_plan_cd","ITS Home Administrative Rules","Local Plan Code","char"
"dbo","cmc_ithm_adm_info","cspi_its_prefix","ITS Home Administrative Rules","ITS Prefix","char"
"dbo","cmc_ithm_adm_info","ithm_eff_dt","ITS Home Administrative Rules","Effective Date","datetime"
"dbo","cmc_ithm_adm_info","ithm_term_dt","ITS Home Administrative Rules","Termination Date","datetime"
"dbo","cmc_ithm_adm_info","itpr_pfx","ITS Home Administrative Rules","ITS Proxy Provider Prefix","char"
"dbo","cmc_ithm_adm_info","ithm_price_cd","ITS Home Administrative Rules","Price Code","char"
"dbo","cmc_ithm_adm_info","ithm_plan_payer_cd","ITS Home Administrative Rules","Plan Payer Code","char"
"dbo","cmc_ithm_adm_info","ithm_pay_disp_cd","ITS Home Administrative Rules","Payment Disposition Code","char"
"dbo","cmc_ithm_adm_info","ithm_adjsf_pnd_ind","ITS Home Administrative Rules","Adjustment SF Pend Indicator","char"
"dbo","cmc_ithm_adm_info","ithm_adjsf_excd","ITS Home Administrative Rules","Adjustment SF EXCD","char"
"dbo","cmc_ithm_adm_info","ithm_mppq_price_cd","ITS Home Administrative Rules","Medicare Payer Pricing Qualifier Price Code","char"
"dbo","cmc_ithm_adm_info","ithm_warn_msg_opt","ITS Home Administrative Rules","ITS Home Warning Message Option","char"
"dbo","cmc_ithm_adm_info","ithm_addl_data","ITS Home Administrative Rules","Additional Data","varchar"
"dbo","cmc_ithm_adm_info","ithm_lock_token","ITS Home Administrative Rules","Lock Token","smallint"
"dbo","cmc_ithm_adm_info","atxr_source_id","ITS Home Administrative Rules","Attachment Source Id","datetime"
"dbo","cmc_ithm_adm_info","ithm_its_acct_excp_nvl","ITS Home Administrative Rules","ITS Account Exception","char"
"dbo","cmc_ithm_adm_info","ithm_dme_hist_mths_nvl","ITS Home Administrative Rules","DME History Months","smallint"
"dbo","cmc_ithm_adm_info","itpm_pfx","ITS Home Administrative Rules","ITS PCP Prefix","char"
