"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_itlc_loc_ctrl","itlc_local_plan_cd","ITS Local Control Data Indicative Info","ITS Local Plan Code","char"
"dbo","cmc_itlc_loc_ctrl","itlc_host_plan_cd","ITS Local Control Data Indicative Info","ITS Host Plan Code","char"
"dbo","cmc_itlc_loc_ctrl","itlc_df_tol_amt","ITS Local Control Data Indicative Info","Disposition Format Tolerance Amount","money"
"dbo","cmc_itlc_loc_ctrl","itlc_df_tol_pct","ITS Local Control Data Indicative Info","Disposition Format Tolerance Percent","int"
"dbo","cmc_itlc_loc_ctrl","itlc_acc_fee_pct","ITS Local Control Data Indicative Info","Access Fee Percent","int"
"dbo","cmc_itlc_loc_ctrl","grgr_ck","ITS Local Control Data Indicative Info","Group Contrived Key","int"
"dbo","cmc_itlc_loc_ctrl","itlc_plan_payer_cd","ITS Local Control Data Indicative Info","ITS Plan Payer Code","char"
"dbo","cmc_itlc_loc_ctrl","itlc_sec_plan_cd","ITS Local Control Data Indicative Info","Secondary Plan Code","char"
"dbo","cmc_itlc_loc_ctrl","itlc_max_sccf_no","ITS Local Control Data Indicative Info","Maximum SCCF Number","int"
"dbo","cmc_itlc_loc_ctrl","itlc_prom_pay_ind","ITS Local Control Data Indicative Info","Prompt Payment Penalty Indicator","char"
"dbo","cmc_itlc_loc_ctrl","itlc_addl_data","ITS Local Control Data Indicative Info","Additional Data","varchar"
"dbo","cmc_itlc_loc_ctrl","itlc_lock_token","ITS Local Control Data Indicative Info","Lock Token","smallint"
"dbo","cmc_itlc_loc_ctrl","atxr_source_id","ITS Local Control Data Indicative Info","Attachment Source Id","datetime"
"dbo","cmc_itlc_loc_ctrl","itlc_spr_cd_nvl","ITS Local Control Data Indicative Info","ITS Special Pricing Code","char"
"dbo","cmc_itlc_loc_ctrl","itlc_spr_amt_nvl","ITS Local Control Data Indicative Info","ITS Special Pricing Amount","money"
"dbo","cmc_itlc_loc_ctrl","itlc_spr_pct_nvl","ITS Local Control Data Indicative Info","ITS Special Pricing Percentage","money"
"dbo","cmc_itlc_loc_ctrl","itlc_spr_cd_days_nvl","ITS Local Control Data Indicative Info","ITS Special Pricing Code - Days","char"
"dbo","cmc_itlc_loc_ctrl","itlc_spr_days_amt_nvl","ITS Local Control Data Indicative Info","ITS Special Pricing Code - Days Amount","money"
"dbo","cmc_itlc_loc_ctrl","itsf_pfx","ITS Local Control Data Indicative Info","Non Par SF Message Code Prefix","char"
