"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_itnw_nw_admin","itlc_local_plan_cd","ITS NETWORK ADMINISTRATION","ITS Local Plan Code","char"
"dbo","cmc_itnw_nw_admin","nwnw_id","ITS NETWORK ADMINISTRATION","Network ID","char"
"dbo","cmc_itnw_nw_admin","nwpr_pfx","ITS NETWORK ADMINISTRATION","Network Provider Relationship Prefix","char"
"dbo","cmc_itnw_nw_admin","itnw_eff_dt","ITS NETWORK ADMINISTRATION","ITS Network Effective Date","datetime"
"dbo","cmc_itnw_nw_admin","itnw_term_dt","ITS NETWORK ADMINISTRATION","ITS Network Termination Date","datetime"
"dbo","cmc_itnw_nw_admin","itnw_its_nw_id","ITS NETWORK ADMINISTRATION","ITS Network ID","char"
"dbo","cmc_itnw_nw_admin","itnw_initial_dt","ITS NETWORK ADMINISTRATION","Initial Date","datetime"
"dbo","cmc_itnw_nw_admin","itnw_retain_mos","ITS NETWORK ADMINISTRATION","Retain Months","smallint"
"dbo","cmc_itnw_nw_admin","itnw_excl_dm_ind","ITS NETWORK ADMINISTRATION","Exclude Dummy PCP","char"
"dbo","cmc_itnw_nw_admin","itnw_addl_data","ITS NETWORK ADMINISTRATION","Additional Data","varchar"
"dbo","cmc_itnw_nw_admin","itnw_lock_token","ITS NETWORK ADMINISTRATION","Lock Token","smallint"
"dbo","cmc_itnw_nw_admin","atxr_source_id","ITS NETWORK ADMINISTRATION","Attachment Source Id","datetime"
