"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_itpm_pcp_home","itpm_pfx","ITS PCP Match table","ITS PCP Prefix","char"
"dbo","cmc_itpm_pcp_home","itpm_seq_no","ITS PCP Match table","Sequence Number","smallint"
"dbo","cmc_itpm_pcp_home","prcf_mctr_spec","ITS PCP Match table","Provider Specialty","char"
"dbo","cmc_itpm_pcp_home","prpr_mctr_type","ITS PCP Match table","Provider Type","char"
"dbo","cmc_itpm_pcp_home","itpm_addl_data","ITS PCP Match table","Additional Data","varchar"
"dbo","cmc_itpm_pcp_home","itpm_lock_token","ITS PCP Match table","Lock Token","smallint"
"dbo","cmc_itpm_pcp_home","atxr_source_id","ITS PCP Match table","Attachment Source Id","datetime"
"dbo","cmc_itpm_pcp_home","sys_last_upd_dtm","ITS PCP Match table","Last Update Datetime","datetime"
"dbo","cmc_itpm_pcp_home","sys_usus_id","ITS PCP Match table","Last Update User ID","varchar"
"dbo","cmc_itpm_pcp_home","sys_dbuser_id","ITS PCP Match table","Last Update DBMS User ID","varchar"
